ID,Name,Category,City,Country,Latitude,Longitude,Description,Entry_Time,Fee,Visit_Time
16,Dipankar Mahavihar,Heritage Site,Unknown,Nepal,27.6748852,85.4337626,"Located inside a barely walked alley between Kwathandou and Bekhal, Dipankar Mahavihar is the home of one of the Dipankar Buddhas of Bhaktapur. He is supposed as the main Dipankar Buddha, thus after him, the vihar is named.
The statue of Dipakhar Buddha at Dipankar Mahavihar
As per the available scriptures, it was built in N.S. 750. And, fortunately, it is still in good condition, able to perform daily worshipping rituals and participate in Panchadan and Samyak Dan like holy events.
Beside Dipankar Buddha, there stands a statue of Mahankal, Manjushree, Ganesh and Shiva-Parvati, in this Mahavihar tagging the Red Tara. Some folk legends mention that Tara used to speak and was kept inside the bar while she was trying to leave the place.
That is why many Tibetans and people from the Himalayan regions often pay a visit to this place.
The temple of Red Tara at the premises of Dipankar Mahavihar
The Mahavihar, however, is also come to know as the home of Kumari of Bhaktapur. Each year, during Dashain, the living goddess Kumari resides here for 15 days.
Although, there is not much movement in the area, when you cross upon that road, a fragrance of incense steal away your attention. There is peace in the air.
While analyzing the spiritual values of that Mahavihar, one cannot just ignore the architectural form. The combination of the temple and local residents seems quite distinct yet attractive. The struts are as beautiful as the other wooden pieces of Bhaktapur. They are well carved and presented.
Dipankar Mahavihar
Likewise, there are Dharmadhatu Chaitya, Bajradhatu Chaitya, Khamba Chaitya, Gaju Chaitya, a hymning place (Sattal) with some fascinating paintings and a stone conduit on its premises. It’s a place worth visiting although the presence of local residents make you feel quite awkward, at first.
Chaityas and Sattal at Dipankar Mahavihar",Not Available,0,Not Available
17,Jayakriti Mahavihar (Thathu Bahi),Heritage Site,Unknown,Nepal,27.6728031,85.4218875,"Jayakriti Mahavihar, also known as Thatu Bahi is one of the most prominent vihars of Bhaktapur. Each year, Samyak Panchadan like-substantial event takes place over there.
It is located at Itachhen, on the western arena of the Na: Pukhu (Guhyepokhari of Bhaktapur). A two-storeyed building made out of a traditional Nepalese style (currently functioning as a Shree Gyan Bijaya Primary School) is also the house of one of the Dipankar Buddhas of Bhaktapur.
There is a beautiful courtyard inside the building where one can find small chaityas and stupa along with exquisite wood’s working and the image of Padmapani Lokeshwora, the central deity of the Bahi.
The vihar is placed in the highland, that’s why it is called thatu Bahi.
The vihar, as mentioned in the inscriptions and scriptures ascertains that it is way older than other vihars. The presence of two Chaityas and a gate with Panchabuddha summarises that it was made in the Lichhavi era.
There is even some chatter saying Na: Pukhu was later made on the land of Thathu Bahi.
It is said that the vihar was also renovated by King Jitamitra Malla and Ugra Malla after Jaya Ratna Bajracharya, who was a member of Chatur Varna Mahavihar.
The mentioned date when Jaya Ratna Bajracharya renovated it was N.S.794 and only after that, the Thatu Bahi was started to call Jayakriti Mahavihar. Moreover, it still seems to be in a good condition.",Not Available,0,Not Available
18,Chuma Ganesha Temple,Heritage Site,Unknown,Nepal,27.674545,85.430603,"The uniqueness of this city never disappoints you especially when it comes to the name of places and temples. The Chuma Ganesha temple, designated as the very first Ganesh temple of Bhaktapur somehow, too falls in such fanciful legends and in weird naming.
Being located in Chochhen tole of Bhaktapur made it geographically the temple situated in the upper part of the Bhaktapur Nagara. It is said that Chochhen originally came up after the term Choye Chongu Chhen which means the house of the upper part.
Chuma Ganesh temple, on the other hand also has its own legendary story. Even the origin of its name has a story. It is said that the rats of that area beyond their nature scared the cats. And when someone tries to investigate the matter, they found out the image of Lord Ganesh.
Chuma Ganesha
Legends say that the name Chuma is derived from the term Chu and Ma which respectively means the rat and line. Thus, assuming Lord Ganesha worshipped by the large line of mice, the name of the temple began to be called Chuma Ganesha.
However, there is one more story that is slightly different from the aforementioned yet the core story of being rats powerful is the same. As per the story, when the king saw a fight between cat and rat and saw cat losing into the rat. He got amazed and follow the rat. There he found the Chuma Ganesh.
After being blessed by him, he was also told that there is Bhadrakali in the south of the area. And he should go there and worship her. The king as ordered went there and worship her. Being pleased by the king, she then gave him instruction to build a nagara in between these two areas; Chuma Ganesha and Bhadrakali temple.
Next, the king establishes the Bhaktapur Nagar along with the first Ganesh temple, Astamatrikas and Astabhairavas.
Besides, the architecture of the temple is likewise quite unique. Although it is a pagoda-style temple, its false tire has multiple layers like design which indeed is unique and satisfactory for the eyes.
Chuma Ganesha Temple",Not Available,0,Not Available
19,Salan Ganesh Dyo Chhen,Heritage Site,Unknown,Nepal,27.673937,85.434589,"Salan Ganesh Dyo Chhen is the god house of Salan Ganesh Temple. However, it is more famous as Agam dyo chhen than the dyo chhen.
The dyo chhen of Salan Ganesh is an exceptional architectural illustration. Unlike other dyo chhen (god’s house), which looks more like a residence but this dyo chhen owns some features matching the temple. Equivalently, it’s rare to find double torans even in temples too. Besides a pinnacle (Gajur) and beautiful carvings over struts, windows and doors made it more of a diversion to the orbs.
Agam dyo chhen
PC: Praz Santt/bhaktapur.com
The flanking stone lions’ home although is declared a world heritage site, yet we are not allowed to observe the interior. Because it still remains occupied by the local resident thus it’s not open to the public.
About the age of the dyo chhen, there is no exact record regarding its erection yet there are some guesses which tells us that it might have been built when the Salan Ganesh temple was built. It somehow makes sense too. Considering, the dyo chhen is of Salan Ganesh temple, it could have been built during the same time period.
The struts and the carvings
PC: Praz Santt/bhaktapur.com
Moreover, the famous architect Mr Wolfgang Korn also remarks that it may be incorrect to describe buildings of this type as temples because they are called even on Newari Dyochhens, which means god’s house. However, only the replica of god is quartered over there.
Well, it’s quite easy to find this architecture foregoing the parade of local residences. On the northern alley of Salan Ganesh puku, the last building to the very west is the dyo chhen of Salan Ganesh Temple.
References-
orientalarchitecture.com",Not Available,0,Not Available
20,Aesamari Sattal of Taumadhi Square,Heritage Site,Unknown,Nepal,27.671034,85.429155,"Many of you might have heard about the word Aesamari Sattal and some might know which exactly the architecture is. Aesamari Sattal is non-other than that building, which resides right in front of the Nyatapola temple where “New Cafe Nyatapola” exists.
That building was said to be used by the priest who came to Bhaktapur, especially for the Biska Jatra. Also, the building was said to be the house of the essential elements of the biska jatra festival. 
There are numerous stories related to this particular building. It is said that there used to be a puja each year during Biska jatra in the Taumadhi square. That puja was specially held for the salvation of those spirits who had an unfortunate death. And the sages were said to make the big bread (roti or mari) in this particular place, thus it started to be called Aesamari Sattal.
Moreover, Aesamari Sattal is also unique in the aspect of depicting exceptional woodcarvings. Especially the erotic carvings. In the struts of this building, we can see numerous characters and their actions, beautifully depicting the then lifestyle.
Erotic carving at Nyatapola cafe PC: Praz Santt/Bhaktapur.com
You can check out more carvings like this on the Erotic carvings on the architecture of Bhaktapur.",Not Available,0,Not Available
21,Jetha Ganesh Temple,Heritage Site,Unknown,Nepal,27.670098,85.427818,"The Jestha/Jetha Ganesh temple of pottery square dates back to the year 1646. Unlike other temples around, the Jetha Ganesh temple was not built by any king or the prince. Instead, it is said that it was donated by a wealthy person.
The architecture of the temple seems normal to us cause it’s a two-storeyed pagoda styled temple. But the importance of it does not rely on its normal architectural design. This temple is extraordinary because of the images of Astamatrika and Astabhairava. They are beautifully carved on the temple’s struts, which is very rare to find in any temple, even in the entire Kathmandu Valley.
Astamatrika at Jetha Ganesh temple
Moreover, each year during the Biska Jatra,  a Lyo Sin Dyo without arms (Lha maru Lyo Sin Dyo) is raised on the premises of this temple.",Not Available,0,Not Available
22,Uma Maheshwor temple,Heritage Site,Unknown,Nepal,27.672393,85.430169,"There are two temples of Uma Maheshwor in Bhaktapur. One among them is located on the way to the Sukuldhokha from Balakhu Ganesh temple. To be more precise, it is exactly located behind the Araniko Assembly Hall.
Uma maheshwor temple before the restoration  PC: Sunil Rajbhandari
This Uma Maheshwor temple is made off of stones and it was once somehow impacted by the plants of the pipal. Until the renovation, the temple was half overlaid by the trees. It almost looked like the trees were the roof of this temple. But today, we can clearly see the pinnacle of this temple.
The temple is one of the most artistic temples of Bhaktapur that were made in a Shikhara Style. Cause, unlike other temples, it is full of pristine carvings, especially on the pillars.
There is an image of Uma Maheshwor in the sanctum of the temple. The image of this temple was once stolen after the worshipping was totally stopped there.
It is said that the temple was first made during the reign of Prana Malla.",Not Available,0,Not Available
23,Bhajyapukhu of Bhaktapur,Heritage Site,Unknown,Nepal,27.670663,85.421144,"Bhajyapukhu or Bhajupokhari of Bhaktapur is recently renovating under the act of Bhaktapur Municipality. This pond seems like a hidden pond of Bhaktapur cause it is labelled beside the line of various restaurants and local residences. But it is very easy to locate this pond. 
It lies right behind the Shiddhapokhari of Bhaktapur, on the southern arena. All you need to do is cross the road toward the south of Shiddhapokhari. Make the traditional pati to your right( which has a small outdoor shop) and keep going. Within a few steps, you would be standing on the northeast corner of the Bhajupokhari.
People used to play football in the pond, lightly a few years back because there was no water in this pond. It was totally dried up and was only limited in the name of the history of Bhaktapur. Even, in the history of Bhaktapur, there is no accurate information about this pond.
Regarding Culture Activist, Om Dhaubhadel, Bhajupokhari was built by a general commander of King Jitamitra Malla, Bhagiram Pradhananga (Bhaju Kasaju/ Bhaju Kasa). By whom’s name, the pond is named Bhajuya Pukhu which means the pond of Bhaju. Later, it started to be called Bhajupukhu and then Bhajyapukhu. However, people also prefer to call it Bhajupokhari which all means the pond named by Bhaju.
Since there is no exact information regarding the erection period of the pond, considering the life ventures of Bhaju Kasa, it is guessed that it probably was built during N.S. 811/812. However, it is no sure date of its erection.
For the reconstruction of the pond, some pre-research and excavation work was also held in that area by the team of Historian and Culture Activist Dr Purushottam Lochan Shrestha. Surprisingly, some facts regarding the preceding temple and its antiquity have been unveiled. 
As per the study, there used to be a shikhara styled temple with an image of Jaleshwor. The temple is said to be built in the middle of the pond just like in the Ranipokhari of Kathmandu.
Likewise, it is assumed that the Bhajupokhari of Bhaktapur was made to replicate the Ranipokhari of Kathmandu. More or less, it is also believed that an earthquake ruined the pond along with its history, making it still a mystery.",Not Available,0,Not Available
24,Tripurasundari Dhungedhara (the stone conduit of Tripurasundari),Heritage Site,Unknown,Nepal,27.672749,85.430244,"The rectangular water conduit near Tripurasundari Temple is well known as the Dhungedhara (Lohahiti) of Tripurasundari. It is located at Tulachhen (north of the Jagannath temple of Tulachhen). Though the conduit is not functioning nowadays, it must have had great significance in past. Near the conduit, there is a pati (north side) which states that the conduit was built in N.S. 589 (1468 A.D.) by King Yakshya Malla.
Besides the extremely beautiful water conduit, there is a statue of Goddess Gajalaxmi, Vaikuntha Narayan Vishnu and a Shivalinga. This particular dhungedhara is also best known for one of the best images of Bhagirath.",Not Available,0,Not Available
25,Jagannath temple of Tulachhen,Heritage Site,Unknown,Nepal,27.672578,85.430088,"Bhaktapur, without an unspecified reason, is not designated as the city of temples. You see, each corner of the path and chowks of Bhaktapur contains some kind of shrine. Somewhence, you would also find temples with different architecture but of the same names. Referring to this case, you can find one Jagannath temple in Durbar Square and another one at Tulachhen.
The temple of Jagannath which lies at Tulachhen is also one of the important temples of Bhaktapur. After witnessing a pillar with fine Garuda’s statue and big plinths, historians somehow assumed that it must be a grand temple. Though, today the temple is only one-storeyed but is able to protect the beautiful images of Jagannath.
The image of Jagannath
In the temple, the statue of Krishna is represented as Balbhadra Jagannath and is in Nil Varna which means Blue in colour. Likewise, the statue of Subhadra and Balaram( Baladev) are in Rakta Varna and Sweta Varna respectively.
Jagannath, Subhadra and baladev
As per the foundation of the temple, it is stated that it was built during the reign of King Prana Malla in N.S.663. Also, it was assumed to be built in Shikhara style.
However, we do now see the structure of the temple built after the quake of 1990.",Not Available,0,Not Available
26,The image of Chatur Narayan,Heritage Site,Unknown,Nepal,27.67245,85.430346,"This image of Chatur Narayan (the four Narayan) is located right in front of the Jagannath temple of Tulachhen.  Most people tend to call this place, Markandaya Talau too, correlating to the Jagannath temple’s glory. By the style of the statue, it is assumed that it must be made during the 15th century.
The Lord Vishnu (Narayan) in this statue is in Samabhangaasan holding a lotus (Padma), the Indestructible Mace Of Lord Vishnu (Kaumodaki), a conch (Shankha) and the Unstoppable Disc Of Lord Vishnu (Sudarshana Chakra) in each of his four hands. Perhaps, because the place was once called a Talau (lake), the image of that Chatur Narayan is also worshipped as Jalhari. However,  to this day, regular puja is not conducted over there.",Not Available,0,Not Available
27,Digu Bhairava Temple,Heritage Site,Unknown,Nepal,27.679148,85.385708,"Digu Bhairava Temple is one of the most prominent temples of Digu tole, thimi. The locals worship Digu Bhairava as their linage deity. Thus, the southern door of the temple is always kept open for the populace while the other door (the eastern one) is open on bare occasions.
It is a two-storeyed temple made in N.S. 600 (B.S. 1536) and one can easily reach over there. All you need to do is follow the same main road of thimi. Nearby, you could also find the temple of Digu Ganesha, Brihaspati, Narayan, Mahadeva, Chaitya, Dabalis and Patis.
Well, on one of those pati, one of the famous jatras of thimi, the tongue piercing one takes place that in each year after the day of Yenya Punhi (Indra jatra). Also, the temple is whirled by the palanquins during Biska jatra, stating that it is one of the most important temples of Thimi.",Not Available,0,Not Available
28,Bakhachhen Mahadev Temple and Siwa Ganesh temple,Heritage Site,Unknown,Nepal,27.677666,85.386782,"The inscription found near this, Bakhachhen Mahadev temple states that it was built in N.S. 561 (1498 B.S.) which also made this temple, the oldest heritage site of Thimi. It is situated at Siwatole of Thimi. Around 110m east from the main road of Thimi and Thimi Layaku area.
It is a two-storeyed temple made in the pagoda style, facing toward the west. The gold-glided pinnacle, Shivalinga and traditional roofing style of this temple give an obsolete faithful vibe. 
beautiful toran of Bakhachhen Mahadev temple
Nearby, there is another temple designed in the same outlet, named Siwa Ganesha temple. But, it is faced toward the south. By the architectural state, one can determine that it looks older than the other one.
However, it doesn’t end the number of temples located in that area. There is also a temple of Gaurishankhar, Bhairava, Siddhi Ganesha, Bu: Mahadyo (self emerged Mahadev), Golakhu Dyo (the nine deities) including various statues of god and goddesses which are both historically and culturally important.
Along with that, there is a pati, a dabali, Kunda (pond), dhungedhara (stone spout) and a chaitya.
Pati on the premises of Bakhachhen Mahadev and Siwa Ganesh temple
water spout near Siwa Ganesh temple
Source: Gantabya Madhyapur Thimi",Not Available,0,Not Available
29,Gunakriti Mahavihar,Heritage Site,Unknown,Nepal,27.679547,85.386079,"Gunakriti Mahavihar is one of the ancient Vihars of Madhyapur Thimi. Being located at Digu Tole made it also called Digu Baha. To reach over there, all you have to do is follow the main road of thimi towards the north, until and at the end you see this Mahavihar on your right-hand side. 
Well, the inscriptions found here state that this Vihar is way older. As per the inscription, it was once renovated in N.S. 808. Likewise, the two golden images of Dipankar Buddha (one small and another big) was installed there in N.S. 684 (B.S.1621) and N.S. 689 (B.S. 1626).
Do you know that those images of Dipankar Buddha are roamed around in Thimi, Nagadesh and Bode on the day of Panchadan? That event is called Dipankar Jatra.
Besides, there is a  chaitya in this Mahavihar that is made anciently, recalling the lichhavi style of architecture. It apparently is the best thing to observe over there. However, there is one more statue of Bauddha Guru Padmasambhava which make this Vihar even more attractive.
Source: Gantabya Madhyapur thimi",Not Available,0,Not Available
30,Vishnu Kunda (Sungaa Pukhu),Heritage Site,Unknown,Nepal,27.67721,85.38384,"Vishnu Kunda or Sungaa Pukhu is a historical pond that remained dry for so long. But in the year, 2075 it was again restored traditionally.
Though this pond is not as big as Nigoo Pukhu, it had some sort of religious significance. In past, there used to hold a grand mela on the day of Gatha Muga cha: re.
This pond is about 600 m ahead (towards north) from Chardobato chowk. And, nearby there is a Compost Mal Kendra which produces agricultural chemicals using Japanese technology. That’s why many national and international groups visit this area for study purposes.",Not Available,0,Not Available
31,Shree 3 Vishnu Bir mai Temple (Sungaa Dyo),Heritage Site,Unknown,Nepal,27.676203,85.384033,"Shree 3 Vishnu Bir Mai temple is one of the mattering temples of Thimi which is situated at Sungaa tole of Madhyapur Thimi. Perhaps, that’s why the temple is also called Sungaa Dyo. Or, maybe because of the name of Sungaa Dyo, the place started to call Sungaa Tole. 
Shree 3 Vishnu Bir Mai temple
Whatever the reason might be behind this naming but one thing is clear that this temple has a lot of significance. This temple is also called the temple of Vaishnavi, the shakti of Lord Vishnu.
Deities of Vishnu Bir Mai temple
During the Biska Jatra, the palanquin of this temple (the khat of Vishnu Bir) leads to the other five Ganesha’s palanquins. With that, there held a solo jatra of its called Vishnu Vir Khat Jatra at the end of the Baishak where its palanquin is roamed around the entire thimi. (Here, thimi is referring as the main thimi area)
The legends say that this temple was faced west and had 12 corners in the past. Meanwhile, today it is faced towards the east and is made in Gumbaj style. The temple houses unshaped images of God and Goddesses. In front of which, one can encounter a statue of Garuda, doing Namaste (adjoining hands position) and a hanging Pataah.
Hanging pataah of Vishnu Bir mai temple
Likewise, in the courtyard of this temple, you can find fine patis (resthouses) to perform daily rituals and Bhajans. There is a replica of Shiddhi kali on the northwest corner of the courtyard and a small image of Saraswoti.
Taking a western alley from Balkumari Temple would take approximately a few minutes of walk to reach over there.",Not Available,0,Not Available
32,Thimi Layaku,Heritage Site,Unknown,Nepal,27.6774,85.386132,"Because of the location of Thimi Layaku, which is situated beside the main road, it became very easy for the wanderers to locate it out. Going straight ahead toward north from Balkumari temple (157m) would eventually lead you toward Thimi Layaku.
Today, the layaku (palace) of Thimi is functioning as the Aadarsha Secondary School. Although it is functioning as a school, some portion of this area is still used for cultural activities. The activities regarding Bhairava Dance, Taleju and many other culture-related activities are conducted from here. That’s why it is also called the cultural centre of Thimi.
Besides the cultural values, this place seems important for religious purposes. Each year during Biska jatra the statues of Balkumari are put over there, who is the main deity of Sindoor jatra. Also, the courtyard which has the Taleju temple is remarkably attractive although the section is still under construction.
Thimi layaku courtyard under construction
taleju at thimi layaku
toran of taleju temple
one unique window at Taleju courtyard-thimi layaku
newly placed windows-thimi layaku",Not Available,0,Not Available
33,Ranipokhari of Bhaktapur,Heritage Site,Unknown,Nepal,27.672136,85.415147,"There is a Ranipokhari in Bhaktapur. Most people might have had no idea about this historic pond’s existence before the issue of its reconstruction. The mighty pond is said to be 40 years older than the Ranipokhari of Kathmandu. That’s why the Ranipokhari of Kathmandu used to be called “Nhu Pukhu “ which means the New pond. However, this Ranipokhari of Bhaktapur is not as big as Kathmandu’s.
Ranipokhari of Bhaktapur
As per the historian Dr Purushottam Lochan Shrestha, the Ranipokhari of Bhaktapur was ordered to be built by King Jagat Jyoti Malla, one of the greatest kings of Bhaktapur. It is assumed that he ordered the building of the pond in remembrance of his wife, Queen Rajlaxmi.
The found inscriptions state that it was built in 1687B.S.(1630 A.D, 750N.S.) within a timeframe of 5 months only. Later, it was renovated by King Jitmitra Malla in 1735. During the renovation, several statues of gods and goddesses were believed to be installed there. However, there are no signs of those artefacts in the current Ranipokhari.
Ranipokhari of Bhaktapur PC: bhaktapur.com/Prasant Prajapati
Unfolding history somehow reveals the facts that the pond was severally destroyed during the invasions of Kantipur and Lalitpur in Bhaktapur. Also, the artefacts appeared to be stolen during that time.  
It is said that there used to be a snake statue in the middle of the pond. As per some folklore, there stood the head of the “BasukiNaag” in this pond. Likewise, the body and the tails in the Shiddhapokhari and Na pukhu respectively. 
(These three ponds Ranipokhari, Shiddhapokhari and Na: Pukhu (Guhyepokhari) are considered sisters ponds.)
Besides the historical importance, it has another reason to be an important place to the Bhaktapurians. The Prajapati, Awal, Jochhen, Maharjan, Bhujitu, Rajlawat people of Bhaktapur do their digu puja at the premises of Ranipokhari. Moreover, they certainly perform the Ihi as well as the Bartabanda ceremony over there.
Ranipokhari of Bhaktapur PC: bhaktapur.com/Prasant Prajapati
On the southern part of Ranipokhari, there is a “Sattal” which had great use in the past. It is said that when Bhaktapur used to welcome Harishiddhi Naach and Naradevi Naach that used to be held once in 12 years, the dancers, as well as their team, used to rest in that Sattal before entering the Bhaktapur Nagar.
Sattal at Ranipokhari of Bhaktapur PC: Bhaktapur.com/ Praz Santt
Similarly, during Biska Jatra, a khadga used to come from Hanuman Dhoka Durbar which was also used to first settle down at the same sattal before entering Bhaktapur.
Ranipokhari now is open to the public as well.
(It was actually closed for the public since 2040 B.S. The land was used for army training and was under the control of the current Sainik Awasiya Vidhyalaya.)",Not Available,0,Not Available
34,Siddhi Ganesh Temple and Dyo Chhen,Heritage Site,Unknown,Nepal,27.683984,85.385395,"Siddhi Ganesh Temple of Nyagya Tole is worshipped as the main deity of Nagadesha. Each year, the palanquin of Siddhi Ganesh used to be taken at Balkumari temple, during Biska Jatra. It was the only palanquin that used to depart from Nagadesha. And, only after the presence of the palanquin of Siddhi Ganesha, the Balkumari Jatra used to starts.
Siddhi Ganesh temple
Perhaps, because the Siddhi Ganesha is assumed as the eldest son of Balkumari, he used to possess such priority. But unfortunately, today this series of acts are not performed. Moreover, some people assumed Siddhi Ganesha as Kumar too.
The temple of Siddhi Ganesh is located inside a courtyard and guess what, the entrance of the temple is no other than its dyo chhen. After entering the Dyo Chhen, you need to walk toward the north. You could encounter a pond, minor temples, people playing cards on nearby pati, while you walk toward the temple.
Way to Siddhi Ganesh temple
locals nearby Siddhi Ganesh temple
Also, you can sense the fragrance of green veggies while discerning people tieing them.
The temple is assumed to be built in N.S. 600 (B.S.1536) whereas the dyo chhen was built in N.S. 916 (B.S. 1898). This three-storeyed golden roofed temple is now having some renovations while the dyo chhen itself is becoming one of the main attractions of this place.
Dyo chhen of Siddhi Ganesh Temple
The Siddhi Ganesh Dyo chhen depicts one of the beautiful woodcarvings output of thimi. The Dyo chhen is used to store the image of Siddhi Ganesha, Palanquin and other objects that are used in cultural activities. However, it is gaining more attention because of its golden window. The window is said to be made out of gold that’s why it is engraved under the iron bars.
It is said that before the erection of dyo chhen, the image of Siddhi Ganesh was placed in the house of local residences. Each year to the house of nearby residences.",Not Available,0,Not Available
