user_id,place_id,place_name,name,rating,types
70,8,National Art Museum,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
71,8,National Art Museum,National Art Museum,5,"tourist_attraction, museum, point_of_interest, establishment"
72,8,National Art Museum,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
73,8,National Art Museum,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
74,8,National Art Museum,National Art Museum,3,"tourist_attraction, museum, point_of_interest, establishment"
75,8,National Art Museum,National Art Museum,5,"tourist_attraction, museum, point_of_interest, establishment"
76,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
77,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
78,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
7,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
79,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
80,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
16,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
81,6198,Chyasalin mandap,Chyasalin mandap,5,Heritage Site
82,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),4,Heritage Site
83,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),5,Heritage Site
84,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),4,Heritage Site
85,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),4,Heritage Site
86,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),5,Heritage Site
87,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),5,Heritage Site
88,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),4,Heritage Site
89,6204,Taleju bell ( Tagoun Ghan),Taleju bell ( Tagoun Ghan),4,Heritage Site
90,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
91,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
92,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
93,65,Changu Narayan temple,Changu Narayan,4,"park, point_of_interest, establishment"
94,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
95,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
96,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
97,65,Changu Narayan temple,Changu Narayan,5,"park, point_of_interest, establishment"
78,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
7,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
98,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
99,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
100,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
101,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
102,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
103,6215,The most fascinating Statue of King Bhupatindra Malla,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
104,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
105,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
106,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
107,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
108,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
109,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
110,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
111,6405,Nyatapola Temple,Nyatapola Temple,5, Religious Site
25,6223,55 window palace,55 window palace,5,Heritage Site
112,6223,55 window palace,55 window palace,4,Heritage Site
113,6223,55 window palace,55 window palace,5,Heritage Site
114,6223,55 window palace,55 window palace,5,Heritage Site
115,6223,55 window palace,55 window palace,5,Heritage Site
116,6223,55 window palace,55 window palace,5,Heritage Site
117,6223,55 window palace,55 window palace,4,Heritage Site
16,6223,55 window palace,55 window palace,5,Heritage Site
118,6120,Davis Fall Pokhara,Davis Fall Pokhara,4, Natural Landmark
119,6120,Davis Fall Pokhara,Davis Fall Pokhara,4, Natural Landmark
120,6120,Davis Fall Pokhara,Davis Fall Pokhara,5, Natural Landmark
121,6120,Davis Fall Pokhara,Davis Fall Pokhara,4, Natural Landmark
122,6120,Davis Fall Pokhara,Davis Fall Pokhara,4, Natural Landmark
