id,name,address,latitude,longitude,rating,second_word,types
5120,"श्री कुशेश्वोर महादेव मन्दिर, दुम्जा महादेव","CRVF+CVR, Dhulikhel-Sindhuli-Bardibas Highway, दुम्जा, नेपाल",27.4473529,85.8235216,4.5,Dhulikhel-Sindhuli-Bardibas Highway, mosque
5121,Jasmani Sadhu Kuti जस्मनी साधु मन्त्रीको घर,"CP29+26W, 56000, नेपाल",27.4001239,86.7180698,5,56000, hindu_temple
5122,Chiwang Monastery Solukhumbu,"GJQ2+RG3, दूधकुण्ड मार्ग, दुधकुण्ड 56000, नेपाल",27.5393668,86.6013008,4.5,दूधकुण्ड मार्ग, monument
5123,Bhitte Solukhumbu,"FJ28+HX4 bhitte, 56000, नेपाल",27.4513934,86.6174394,5,56000, hike
5124,Prashansa Church,"JM44+F72, Karekhola Rd, बिरेन्द्रनगर 21700, नेपाल",28.60613,81.6556282,0,Karekhola Rd, church
5125,Necha Salyan Ward No 5,"9J2G+58G, नेचा बतासे 56000, नेपाल",27.3504377,86.6258353,4.5,नेचा, tourist_attraction
5126,shiva mandir nechasalyan solukhumbu,"9J3R+HV7, नेचा बेतघारी बिदेसी 56000, नेपाल",27.3539042,86.6421623,4,नेचा, mosque
5127,दाताराम चोक नेचा सल्यान ३ सोलुखुम्बु,"9J2M+CGH, नेचा बतासे 56000, नेपाल",27.3510694,86.6338478,5,नेचा, monument
5128,नेचासल्यान गाउँपालिका कार्यालय,"9J3R+J94, नेचाबेतघारी 56000, नेपाल",27.3540184,86.6409538,4.2,नेचाबेतघारी, historic_site
5129,Solukhumbu Treks and Expedition,"Chabahil -7, Museganesh Post Box No 20179, काठमाडौँ 44600, नेपाल",27.7167299,85.3460592,0,Museganesh, trek
5130,Loksu chowk (लोक्सु चोक),"HMWM+MPP, 56000, नेपाल",27.5967064,86.6843273,5,56000, park
5131,"Zion Isai Church,Kophu","FJWV+CMX, 56000, नेपाल",27.4960836,86.6442474,5,56000, church
5132,Dudhkoshi Chhirdi Motorable Bridge,"HMVG+PM, टाक्सिन्दु 56000, नेपाल",27.5943605,86.6779085,5,टाक्सिन्दु, tourist_attraction
5133,Jagabaijyeshwor Mahadev Temple जगवैज्यश्वर महादेव मन्दिर,"HJ4W+2R8, बि.पि.राजमार्ग, काशीखण्ड 45200, नेपाल",27.5550347,85.6470771,4.7,बि.पि.राजमार्ग, hindu_temple
5134,Kolam Fun Park,"GR4G+HHG, 56000, नेपाल",27.5064387,86.8264468,4,56000, park
5135,Mahakulung Bung Church महाकुलुङ ईसाई परिवार,"GR7H+6XV, 56000, नेपाल",27.5131279,86.8299467,4.4,56000, church
5136,Kulung Village,"GRHQ+V3H, 56000, नेपाल",27.5296997,86.8377369,0,56000, tourist_attraction
5137,Sir Edmund Hillary Memorial Museum & Elder Care Center,"GR6J+GR8, गुदेल 56000, नेपाल",27.5112909,86.8320771,5,गुदेल, museum
5138,Shiva Mandir,"FQ9R+Q47, Sautang 56000, नेपाल",27.4694,86.7903,0,Sautang, hindu_temple
5139,माहाकुलुङ,"माहाकुलुङ, नेपाल",27.511601,86.831521,,नेपाल, historic_site
5140,Thumlu kholsa,"9RC4+93, राखा बाङ्देल 56200, नेपाल",27.3709039,86.80524,5,राखा, historic_site
5141,Top of Gudel,"FVX2+V7M, गुदेल 56000, नेपाल",27.4997211,86.8506568,5,गुदेल, trek
5142,Khiraule खिरौले,"Mahakulung wada no.one, 56000, नेपाल",27.5367256,86.8157643,0,56000, hike
5143,Data chalaune pomdok,"FQ9R+Q47, Sautang 56000, नेपाल",27.4694,86.7903,0,Sautang, park
5144,Sotang Church,"GQ2G+5PV, Sautang 56000, नेपाल",27.5004837,86.7768082,0,Sautang, church
5145,Sotang,"FQQ8+GR2, Sautang 56000, नेपाल",27.488755,86.7670056,3.5,Sautang, tourist_attraction
5146,Sotang 4,"FQ9R+Q47, Sautang 56000, नेपाल",27.4694,86.7903,0,Sautang, tourist_attraction
5147,राम मन्दिर,"PMP3+7QH, भोटसिपा, नेपाल",27.7356642,85.6544951,4.5,भोटसिपा, hindu_temple
5148,Sotang,"RVHR+WQR, गाठी 45302, नेपाल",27.8298649,85.8918797,5,गाठी, historic_site
5149,Khumbu Excursion Pvt. Ltd.,"Pandol Marga, काठमाडौँ 44600, नेपाल",27.7270345,85.3265021,5,काठमाडौँ, tourist_attraction
5150,Khumbu Pasanglhamu Rural Municipality ( खुम्बु-पासाङल्हामु-गाउँपालिका ),"MPX9+8X9, चौरीखर्क 56000, नेपाल",27.6982962,86.7199994,5,चौरीखर्क, mosque
5151,Khumbu Shangrila Nepal Trek and Expedition Pvt. Ltd,"P9W7+73, बुढानीलकण्ठ 44600, नेपाल",27.7457267,85.3626664,4.5,बुढानीलकण्ठ, trek
5152,Pikey base camp,"GFG7+RRR, गोलि 56000, नेपाल",27.5266189,86.4645159,4.6,गोलि, picnic
5153,Tingla busting,"CH6V+J3, सोलुसल्यान 56000, नेपाल",27.4115655,86.5927349,0,सोलुसल्यान, park
5154,Kusum Foundation,"9M57+MPG, नेचा बेतघारी बिदेसी 56000, नेपाल",27.3591808,86.6643425,5,नेचा, museum
5155,Thulung Sakle Toshikhom,"CMG7+HHX, कांगेल 56000, नेपाल",27.426507,86.6639482,5,कांगेल, hindu_temple
5156,Thulo khola,"FMC5+C2, दुधकुण्ड 56000, नेपाल",27.4711128,86.6575723,0,दुधकुण्ड, historic_site
5157,लिखु पिके गाउँपालिका गाउँकार्यपालिकाको कार्यालय,"H94H+PHQ, चौलाखर्क 45400, नेपाल",27.5569276,86.3789454,4.3,चौलाखर्क, church
5158,लिखु पिके,"लिखु पिके, नेपाल",27.5558666,86.3781039,,नेपाल, tourist_attraction
5159,"Likhupike-2 Goli, solukhumbu","G9M7+6QH, गोलि, नेपाल",27.5330667,86.3644803,0,गोलि, mosque
5160,Nepal Flora and Fauna,"Patan Sundhara, lalitpur-7, ललितपुर 44700, नेपाल",27.669418,85.3286954,4.8,lalitpur-7, aquarium
5161,Lord Shiva temple,"JC2M+9XH, भाकाञ्जे 45400, नेपाल",27.6009366,86.4349962,5,भाकाञ्जे, hindu_temple
5162,World mission society church of god Itahari,"M74H+932, इटहरी 56705, नेपाल",26.6555128,87.2777081,5,इटहरी, church
5163,Shiva Pokhari,"J7X7+XFP, चाँदबेला इटहरी ग्रामीण सडक, इटहरी 56705, नेपाल",26.6505934,87.2642655,0,चाँदबेला इटहरी ग्रामीण सडक, museum
5164,पूर्वाञ्चल भेटेरिनरी फर्मा,"purva line, इटहरी, नेपाल",26.6617007,87.2800542,4,इटहरी, zoo
5165,श्री पशुपतिनाथ मन्दिर,"M75C+23Q, पशुपति मार्ग, इटहरी 56705, नेपाल",26.6573921,87.2701278,4.5,पशुपति मार्ग, hindu_temple
5166,"देवीथान चौक, इटहरी-२, शान्तिनगर","इटहरी 56705, नेपाल",26.7069192,87.2899238,4.3,नेपाल, monument
5167,Mahendra Raj Marg,"M786+9VW, AH2, इटहरी 56705, नेपाल",26.6659796,87.2621974,4.2,AH2, historic_site
5168,Manish,"M7FX+Q6F, इटहरी 56705, नेपाल",26.6744283,87.2980352,0,इटहरी, hike
5169,Dharan Mosque,"R77Q+853, धरान 56700, नेपाल",26.8132525,87.2879541,4.7,धरान, mosque
5170,Yuma Fine Art Academy,"R77H+J6M, धरान 56700, नेपाल",26.8140623,87.2780198,5,धरान, art_gallery
5171,धरान प्याराग्लाइडिङ स्टेशन,"Bishnupaduka, धरान 56700, नेपाल",26.8385176,87.2738349,4.3,धरान, trek
5172,Inaruwa New Bus Park,"इनरुवा 56710, नेपाल",26.6007252,87.1377199,4.3,नेपाल, park
5173,"Elohim Church, Inaruwa","J543+C85, इनरुवा 56710, नेपाल",26.6059805,87.153358,4,इनरुवा, church
5174,मस्जिद हामी सबैको रजाक भाई,"J5H9+H97, Inaruwa 56710, नेपाल",26.628911,87.1670093,0,Inaruwa, museum
5175,श्री सत्यनारायण मन्दिर,"श्री सत्य नारायण मन्दिर, दुहबी रोड, इनरुवा 56710, नेपाल",26.6027369,87.1490053,4.7,दुहबी रोड, hindu_temple
5176,Shiv Narayan pandit niwas,"H4VX+XQJ, इनरुवा 56710, नेपाल",26.5949713,87.1493916,5,इनरुवा, monument
5177,स्वर्गीय महानन्द सापकोटाको प्रतिमा,"J43V+H9V, इनरुवा 56710, नेपाल",26.604057,87.1436908,4.5,इनरुवा, historic_site
5178,Everest store inaruwa Sunsari,"इनरुवा 56710, नेपाल",26.600951,87.1487746,4,नेपाल, trek
5179,Zirait ( जिराइत),"J4GP+RHJ, इनरुवा 56710, नेपाल",26.6270971,87.1363918,4.2,इनरुवा, picnic
5180,Inaruwa park महानन्द पार्क,"J43V+H9V, इनरुवा 56710, नेपाल",26.6039854,87.1438665,4,इनरुवा, hike
5181,"Ball statue, Duhabi, Sunsari, Nepal","H77J+P4H, H08, दुहवी 56707, नेपाल",26.5643127,87.2803657,5,H08, park
5182,Union Church Duhabi 3 Sunsari Nepal,"H7CG+CJW, भलुवा 56707, नेपाल",26.5710591,87.2765927,0,भलुवा, church
5183,Duhabi suspension bridge,"H7PQ+JMC, सिसवनिवडहरा 56707, नेपाल",26.5865633,87.2891397,4.2,सिसवनिवडहरा, tourist_attraction
5184,Markazi Jame Masjid Duhabi4,"H7CJ+7C4, दुहबी रोड, दुहवी 56707, नेपाल",26.5706357,87.2810995,5,दुहबी रोड, mosque
5185,Shree Aaprupi shiv mandir Charaiya,"Duhabi-10, नेपाल",26.5681335,87.237858,4.3,नेपाल, hindu_temple
5186,Dumraha Duhabi 10,"H7C2+8PM, सिमरिया 56707, नेपाल",26.5708344,87.251806,0,सिमरिया, historic_site
5187,Gautam Buddha Fun Park,"M6F2+RX2 Ward no-5, रामधुनी भासी 56709, नेपाल",26.6745173,87.2023842,5,रामधुनी, park
5188,पुनरुत्थान विजयी मण्डली,"R7F3+CCC, धरान 56700, नेपाल",26.825825,87.2536101,5,धरान, church
5189,Ra.sa Taal,"P6QF+7WH, बकलौरी, नेपाल",26.7381942,87.2248474,4,बकलौरी, tourist_attraction
5190,रामधुनी मन्दिर,"M4RJ+CM9, रामधुनी भासी 56703, नेपाल",26.6910479,87.1317305,4.5,रामधुनी, hindu_temple
5191,रामधुनी भासी,"रामधुनी भासी, नेपाल",26.6862608,87.1722037,,नेपाल, historic_site
5192,ZooZoo (जूजू) eco-tourism park,"P6P7+RH2, Unnamed Road, बकलौरी, नेपाल",26.7370054,87.2138835,4.2,Unnamed Road, park
5193,Chisapani,"Q645+5W, धरान 56700, नेपाल",26.7554422,87.2098643,4.5,धरान, amusement_park
5194,JAMMA MASJID (ANSARI VILLAGE),"M32C+549, मधुवन 56713, नेपाल",26.6504108,87.0703837,5,मधुवन, mosque
5195,पंखवति,"R5MX+7J, बराहक्षेत्र, नेपाल",26.8332169,87.1990006,5,बराहक्षेत्र, hike
