id,name,address,latitude,longitude,rating,second_word,types,description,removal_reason
591,Monkey trail,"P7C8+738, Unnamed Road, naagaarajauna 44600, naepaala",27.7206504,85.2652078,4.3,Unnamed Road,,,Missing description
592,Garjura Park,"raesaungagaa 32600, naepaala",28.0777908,83.2536718,4.4,naepaala,,,Missing description
593,Resunga Fun Park,"37H3+48X Resunga park, raesaungagaa 32600, naepaala",28.0786431,83.2526608,4.5,raesaungagaa,,,Missing description
594,Shalom,"XF9X+2PH, aalamadaewaii 33800, naepaala",27.9675602,83.4993723,5.0,aalamadaewaii,,,Missing description
595,Tamghas masjid,"369R+37F, Tamghas, raesaungagaa 32600, naepaala",28.0676722,83.2406554,5.0,Tamghas,,,Missing description
596,Musikot Palace mausaikaota darawaara,"5768+7Q4, Musikot 32600, naepaala",28.1605624,83.2668933,4.5,Musikot,,,Missing description
597,Pokharel Animal and Agricultural Farm,"VFM4+9F6, Deurali 32500, naepaala",27.8834098,83.456153,5.0,Deurali,,,Missing description
598,Get Fish Aquarium,"J992+GV, gaodaawaraii 44700, naepaala",27.618808,85.3520538,4.2,gaodaawaraii,,,Missing description
599,bhagwati mandir thama (sumanbc),"35MV+42R, gulmi 6, raesaungagaa 32600, naepaala",28.0828625,83.1925156,0.0,gulmi,,,Missing description
600,Timure Taal,"492H+6P5, shaanataipaura 32600, naepaala",28.1005141,83.3793654,4.2,shaanataipaura,,,Missing description
601,gaulamaii,"gaulamaii, naepaala",28.088934,83.2934086,,naepaala,,,Missing description
602,Pulkamukh Gulmi,"38RR+32F, Unnamed Road, tauraanga 32600, naepaala",28.0901835,83.3400603,3.9,Unnamed Road,,,Missing description
603,Resunga Foot Trail,"378C+8PP, raesaungagaa 32600, naepaala",28.065847,83.2718422,4.3,raesaungagaa,,,Missing description
604,KankeDeurali tourism spot purkotdaha gulmi,"43FC+95H, bhanabhanae 32600, naepaala",28.1234335,83.0704842,3.8,bhanabhanae,,,Missing description
605,Somai_Danda,"26JG+F9, bhagawataii 32600, naepaala",28.0312038,83.2259353,5.0,bhagawataii,,,Missing description
606,mauramaa sairaana,"G2PQ+FWM, Rara lake, raaraa, naepaala",29.5362068,82.0397864,4.8,Rara lake,,,Missing description
607,"garaesa characha,sharaiinagara haumalaa, Grace Church Adanchuli Rural Municipality Humla","MV67+Q57 garaesa characha, sharaiinagara 21000, naepaala",29.6619971,81.862877,5.0,sharaiinagara,,,Missing description
608,haumalaa,"haumalaa, naepaala",30.0051731,81.9534815,,naepaala,,,Missing description
609,"Limi Valley, Humla","2X43+399, thaehae 21000, naepaala",30.0051731,81.9534815,0.0,thaehae,,,Missing description
610,yaalabaanga gaumabaa,"3J69+9C6, laimaii lahaapachaa sadaka, mauchauu 21000, naepaala",30.0608684,81.6184289,4.7,laimaii lahaapachaa sadaka,,,Missing description
611,SU FLOWERHORN AQUARIUM,"02, Lazimpat, 44600, naepaala",27.7196446,85.3183573,3.5,Lazimpat,,,Missing description
612,Thehe humla,"5X8G+V47, thaehae 21000, naepaala",30.167168,81.9752995,5.0,thaehae,,,Missing description
613,Humla chang la valley trek,"XV5W+Q5C, baragaauँ 21000, naepaala",29.9594469,81.8954011,3.0,baragaauँ,,,Missing description
614,HIMALAYAN TREKKERS PVT.LTD,"POB. No: 20620, thamaela maaraga 26, kaathamaadaauँ 44600, naepaala",27.7151201,85.3113085,4.9,thamaela,,,Missing description
615,laimaii,"laimaii, naepaala",30.3070715,81.647344,,naepaala,,,Missing description
616,haimaalaya saiinaraii taraekaharauu paraaiwaeta laimaitaeda,"Chhetrapati, kaathamaadaauँ 44600, naepaala",27.7120932,85.3074167,4.7,kaathamaadaauँ,,,Missing description
617,Himalayan Companion Treks and Expedition,"Mhepi 29, kaathamaadaauँ 44600, naepaala",27.7269229,85.3111875,4.1,kaathamaadaauँ,,,Missing description
618,Magical Nepal (P) Ltd.,"thamaela maaraga, kaathamaadaauँ 44600, naepaala",27.7159329,85.3117579,4.9,kaathamaadaauँ,,,Missing description
619,saimaikaota,"saimaikaota 21000, naepaala",29.9862834,81.8333656,,naepaala,,,Missing description
620,Raling Hotel,"saimaikaota 21000, naepaala",29.972497,81.8182818,3.8,naepaala,,,Missing description
621,simikot humla,"saimaikaota 21000, naepaala",29.9862834,81.8333656,5.0,naepaala,,,Missing description
622,Rara National Park,"G3FH+GGX Rara Lake, raaraa 21100, naepaala",29.5238567,82.0788445,4.4,raaraa,,,Missing description
623,"Aul puma, Humla","Q2R4+CG5, gaothaii 21000, naepaala",29.7910152,82.0063566,3.0,gaothaii,,,Missing description
624,Fun Park Ilam,"WW5J+V2R, iilaama 57300, naepaala",26.9096976,87.9297417,4.0,iilaama,,,Missing description
625,haimaalaya karausaeda paenataiikaosatala characha ilaama,"VWPF+7J9, iilaama 57300, naepaala",26.8856467,87.9241379,4.2,iilaama,,,Missing description
626,ilaama bhayauu taawara,"Panitanki, iilaama 57300, naepaala",26.9141056,87.9274384,4.2,iilaama,,,Missing description
627,"Pahadi jama masjid, ilam nagar palika","WW3F+2W4, iilaama 57300, naepaala",26.9017096,87.9237209,3.0,iilaama,,,Missing description
628,chaiyaabaaraii kataeja,"WW7G+VFM Ilam, Bazar 57300, naepaala",26.9147055,87.9261745,3.9,Bazar,,,Missing description
629,Ilam Art,"WW5G+XXV, iilaama 57300, naepaala",26.9099915,87.9274266,0.0,iilaama,,,Missing description
630,saimhabaahainaii manadaira,"WW4H+H3G, maechaii raajamaaraga, iilaama 57300, naepaala",26.906431,87.9276968,4.6,maechaii raajamaaraga,,,Missing description
631,The Triangle,"WW6G+855, iilaama 57300, naepaala",26.9107605,87.92549,4.5,iilaama,,,Missing description
632,East Nepal Adventure Trekking & tour,"Bhanupath Ilam, Bazar 57300, naepaala",26.9078005,87.9238777,5.0,Bazar,,,Missing description
633,Todke Jharna,"2WVW+JFR, iilaama 57300, naepaala",27.0441079,87.9461457,4.4,iilaama,,,Missing description
634,Chapabot park,"PC39+R82, High School Bus Stand, chaaँgaunaaraayana 44802, naepaala",27.7045163,85.4182586,4.1,High School Bus Stand,,,Missing description
635,Jajarkot Risang,"khalangagaa 21500, naepaala",28.708275,82.1994492,5.0,naepaala,,,Missing description
636,kashamaiiraii jaamaa masajaida naepaala kaathamaadaaum,"P859+G33, darawaara maaraga, kaathamaadaauँ 44600, naepaala",27.7087615,85.3176462,4.6,darawaara maaraga,,,Missing description
637,Barekot 7 luhag Jajarkot,"P8H6+HG6, kaathamaadaauँ 44600, naepaala",27.7289146,85.3112622,5.0,kaathamaadaauँ,,,Missing description
638,taira hanae jajarkot kao raajaalae,"M6FF+62, kaotajahaaraii 22000, naepaala",28.6731144,82.2225179,5.0,kaotajahaaraii,,,Missing description
639,Salbari Park,"M2G7+366, Charali- Sanischare Rd, shanai arajauna 57205, naepaala",26.6751638,88.0130266,4.3,Charali- Sanischare Rd,,,Missing description
640,hayaapapaiilayaanada phanapaaraka,"MV4X+4HQ, kanakaaii 57200, naepaala",26.6553354,87.8989824,4.2,kanakaaii,,,Missing description
641,New Church Bhangbari Jhapa,"MMXW+MJJ, damaka 57217, naepaala",26.6992166,87.696525,5.0,damaka,,,Missing description
642,aadarasha taola,"HV3R+FGP, Surunga - Jhapa Rd, sharanaamataii 57200, naepaala",26.5538365,87.8916127,4.7,Surunga - Jhapa Rd,,,Missing description
643,Jhapa Natak Ghar,"MX2G+586, bairataamaoda 57204, naepaala",26.6504229,87.975756,4.4,bairataamaoda,,,Missing description
644,Jamunkhadi Zoo,"MW36+6XX Jamunbadi Wetland Area, kanakaaii 57200, naepaala",26.6531057,87.9124977,3.9,kanakaaii,,,Missing description
645,DEHI ART,"Ward office road, West of Manisha Polyclinic, Mechinagar 6, naepaala",26.6473659,88.1532933,4.5,West of Manisha Polyclinic,,,Missing description
646,Durgapur Jhapa,"JWMF+VMQ, kanakaaii 57200, naepaala",26.6392992,87.9287896,3.7,kanakaaii,,,Missing description
647,yalamabara chaoka Yalamber Chowk,"MM7V+X25, Pashupati Oil Rd, damaka 57217, naepaala",26.6648816,87.6926156,4.1,Pashupati Oil Rd,,,Missing description
648,jhaapaa chaoka,"G3QP+QPG, bhadarapaura 57200, naepaala",26.5394291,88.0868179,5.0,bhadarapaura,,,Missing description
649,Trek 8586,"Ilaka Road, bairataamaoda 57204, naepaala",26.6425567,87.9960388,4.9,bairataamaoda,,,Missing description
650,Minimountain Picnic Spot,"Q4FW+CG3, jairamalae 57200, naepaala",26.7735143,88.1462922,3.9,jairamalae,,,Missing description
651,"Pragati Tol Danda, East-West Highway","J5W5+CV9, maechaiinagara, naepaala",26.6460254,88.1597233,3.9,maechaiinagara,,,Missing description
652,Jumla Botanical Garden Dhitachaur,"76C4+Q98, daepaalagaauँ 21200, naepaala",29.2719153,82.2059395,5.0,daepaalagaauँ,,,Missing description
653,Nepal Jagriti Church,"P9CF+XFF, gaokaranaeshawara 44600, naepaala",27.7224265,85.3736831,5.0,gaokaranaeshawara,,,Missing description
654,jaumalaa,"jaumalaa, naepaala",29.2889218,82.3017728,,naepaala,,,Missing description
655,naepaalaii jaamae masajaiida,"Jame Market, darawaara maaraga, kaathamaadaauँ 44600, naepaala",27.7068043,85.3166468,4.6,darawaara maaraga,,,Missing description
656,"gauhayaeshawaraii shakataipaiitha manadaira, kaathamaanadaaum","P963+G93, kaathamaadaauँ 44621, naepaala",27.7112609,85.3534316,4.6,kaathamaadaauँ,,,Missing description
657,Jumla valley,"75FM+WCQ, chanadananaatha 21200, naepaala",29.2748377,82.183599,4.5,chanadananaatha,,,Missing description
658,"Sinja Valley , Jumla","C268+HR, kanakaasaunadaraii 21200, naepaala",29.4114697,82.0171216,4.6,kanakaasaunadaraii,,,Missing description
659,Hemraj's House,"75FH+FV8, jumla marga, chanadananaatha 21200, naepaala",29.2736648,82.1796897,0.0,jumla marga,,,Missing description
660,raaraa taala,"raaraa taala, raaraa 21100, naepaala",29.5238567,82.0788445,4.7,raaraa,,,Missing description
661,Picnic sport jumla,"75WP+92J, chanadananaatha 21200, naepaala",29.29597,82.1850172,5.0,chanadananaatha,,,Missing description
662,Simkhada picnic spot,"75WP+92, chanadananaatha 21200, naepaala",29.2959197,82.185034,5.0,chanadananaatha,,,Missing description
663,Khali Chaur,"paataraasaii 21200, naepaala",29.3584662,82.1606537,4.5,naepaala,,,Missing description
664,taiikaapaura paaraka,"F4PH+P63, taikaapaura 10901, naepaala",28.4867707,81.1280537,4.3,taikaapaura,,,Missing description
665,dhanagadhaii phana saitaii paraa. lai,"Bhansar Rd, dhanagadhaii 10900, naepaala",28.6929426,80.5566861,4.0,dhanagadhaii,,,Missing description
666,Alpha Church,"J5H4+8P, lamakaii chauhaa, naepaala",28.6285231,81.1560598,5.0,lamakaii chauhaa,,,Missing description
667,Jakhor Lake,"PJ4C+RVQ, dhanagadhaii 10900, naepaala",28.7070775,80.6222412,4.0,dhanagadhaii,,,Missing description
668,Noori Jama Masjid PashupatiTol Dhangadhi (1) District Kailali SudurPashchim (Nepal),"Santoshi Road, dhanagadhaii 10900, naepaala",28.7012365,80.588241,4.2,dhanagadhaii,,,Missing description
669,The Dhangadhi 3D Art Museum,"dhanagadhaii 10900, naepaala",28.7097596,80.5765835,3.8,naepaala,,,Missing description
670,Maheshpur,"Andaiya badaipur, dhanagadhaii 10911, naepaala",28.7559515,80.8087056,4.0,dhanagadhaii,,,Missing description
671,"New Ocean View Aquariums & Pet Shop, Dhangadhi","dhanagadhaii 10900, naepaala",28.7085446,80.5757235,4.6,naepaala,,,Missing description
672,Roshan art gallery,"dhanagadhaii 10900, naepaala",28.7066993,80.5897058,5.0,naepaala,,,Missing description
673,sharaii baehadaa baabaa manadaira,"10900, naepaala",28.7395886,80.7064898,4.4,naepaala,,,Missing description
674,Lovely Chok,"dhanagadhaii 10900, naepaala",28.7164815,80.5950823,3.8,naepaala,,,Missing description
675,raajakaaँdaa,"VVHQ+XXX, maohanayaala 10900, naepaala",28.88,80.89,4.0,maohanayaala,,,Missing description
676,Valka kund picnic spot,"QJHW+35, atataraiiyaa 10900, naepaala",28.7776902,80.6454625,4.2,atataraiiyaa,,,Missing description
677,maitaeraii paaraka,"6X28+GFV, paokharaa 33700, naepaala",28.2013727,83.9661579,4.2,paokharaa,,,Missing description
678,paokharaa daijanaiilayaanada,"Lakeside Khara, paokharaa 33700, naepaala",28.2182839,83.9581569,4.1,paokharaa,,,Missing description
679,St. Anne’s Catholic Church,"6XFM+9P5, ganaeshamaana saimha maaraga, paokharaa 33700, naepaala",28.2233822,83.9843868,4.3,ganaeshamaana saimha maaraga,,,Missing description
680,"Polyang, Kaski","Unnamed Road, 33700, 33700, naepaala",28.1086002,84.2164607,4.3,33700,,,Missing description
681,Masjid Aqsa,"6266+4HF, paokharaa 33700, naepaala",28.2102967,84.0114232,4.6,paokharaa,,,Missing description
682,anatararaashataraiya parawataiiya samgarahaalaya,"paokharaa 33700, naepaala",28.1893016,83.9797849,4.4,naepaala,,,Missing description
683,paokharaa janaawara kashaetara,"5454+5H2, laekhanaatha 33700, naepaala",28.1578917,84.1064056,3.1,laekhanaatha,,,Missing description
684,paokharaa akawaayaraiyama,"Nayabazar Rd, paokharaa 33700, naepaala",28.2199902,83.9899451,3.9,paokharaa,,,Missing description
685,saraiiyaa aarata gayaalaeraii,"Hotel yellow pagoda, paokharaa 33700, naepaala",28.1965344,83.9701116,4.7,paokharaa,,,Missing description
686,wainadhayawaasainaii manadaira,"Pokhara-Baglung Hwy Bindhyabasini, paokharaa 33700, naepaala",28.2377642,83.984173,4.6,paokharaa,,,Missing description
687,Kaskikot Palace,"7WC3+RXX, kaasakaiikaota 33700, naepaala",28.2721091,83.9049714,4.5,kaasakaiikaota,,,Missing description
688,The Mountain House Treks & expedition Pvt.Ltd - Trekking in Pokhara Nepal,"Nahar Marg street no 32, paokharaa 33700, naepaala",28.2130688,83.9658096,5.0,paokharaa,,,Missing description
689,kaasakaiikaota paikanaika sapata,"7W8G+Q4, paokharaa 33700, naepaala",28.266974,83.925286,4.9,paokharaa,,,Missing description
690,"Kori Hill,kaoraii daaँdaa","C59H+796, namarajaumga 33700, naepaala",28.4181717,84.1783894,4.6,namarajaumga,,,Missing description
691,kaathamaadaaum phana paaraka,"paradarashanaii maaraga, kaathamaadaauँ 44600, naepaala",27.701377,85.3203981,4.0,kaathamaadaauँ,,,Missing description
692,GREATER GRACE CHURCH KATHMANDU NEPAL,"pepsicola kaathamaadaau mahaanagara paalaikaa ३२ paepasaikaolaa, 44600, naepaala",27.6872969,85.3648296,3.7,44600,,,Missing description
693,sawapana bagaaiँchaa,"P877+MR2, taraidaewaii sadaka, kaathamaadaauँ 44600, naepaala",27.7141261,85.3145041,4.2,taraidaewaii sadaka,,,Missing description
694,taaraagaauँ samsakaृtai sangagarahaalaya,"baaudadhanaatha sadaka, kaathamaadaauँ 44600, naepaala",27.7201823,85.3561869,4.2,kaathamaadaauँ,,,Missing description
695,pashaupatainaatha manadaira,"pashaupatainaatha maaraga, kaathamaadaauँ 44600, naepaala",27.710512,85.3488125,4.7,kaathamaadaauँ,,,Missing description
696,kaathamaadaaum darabaara kashaetara,"kaathamaadaauँ 44600, naepaala",27.7042737,85.307463,4.5,naepaala,,,Missing description
697,paatana darabaara kashaetara,"lalaitapaura 44600, naepaala",27.6726981,85.3253211,4.6,naepaala,,,Missing description
698,Nepal Trekking Experts Pvt. Ltd.,"Amrit Marg,Thamel, Post Box: 23437, kaathamaadaauँ 44600, naepaala",27.7157787,85.3128545,5.0,Thamel,,,Missing description
699,Kavre,"Layaku Rajmanch, Layaku, banaepaa 45210, naepaala",27.6337163,85.5193611,4.4,Layaku,,,Missing description
700,"Nepali Evangelical Church (NEC), Banepa, Kavre, Nepal","JGM8+CGQ, banaepaa 45210, naepaala",27.6335873,85.516362,5.0,banaepaa,,,Missing description
701,TINDHARA JHARANA WATERFALL BASE,"paaँgau 45200, naepaala",27.487874,85.5652426,4.5,naepaala,,,Missing description
702,panaautaii samgarahaalaya,"HGP8+2V7, Indreshwor Temple Square, panaautaii 45209, naepaala",27.5850271,85.51709,4.4,Indreshwor Temple Square,,,Missing description
703,Maa Chandeshwori Aquariums,"Banepa kwolan tole, banaepaa 45210, naepaala",27.6330743,85.5186673,4.5,banaepaa,,,Missing description
704,ithaulaii phalachaa:,"MC8X+PPV, Unnamed Road, 44800, naepaala",27.6668549,85.4492827,5.0,Unnamed Road,,,Missing description
705,Panauti Durbar Square panaautaii darabaara kashaetara,"HGP8+255, panaautaii 45209, naepaala",27.5850165,85.5154733,4.6,panaautaii,,,Missing description
706,kaabharaepalaanachaoka,"kaabharaepalaanachaoka, naepaala",27.5285353,85.643487,,naepaala,,,Missing description
707,Achakhel,"JGJG+WW6, Ghokechaur Marg, banaepaa 45210, naepaala",27.6322896,85.5272634,0.0,Ghokechaur Marg,,,Missing description
708,Community Hike,"community hike, Sanga, panaautaii, naepaala",27.6416498,85.4778176,4.6,Sanga,,,Missing description
709,PANAUTI COMMUNITY PICNIC SPOT,"panaautaii 45209, naepaala",27.5980103,85.4993294,5.0,naepaala,,,Missing description
710,"Manebhanjyang park, Sakela Gaaunpalika, khotang","56200, naepaala",27.1601655,86.851728,4.6,naepaala,,,Missing description
711,"Hantolung Park, Nunthala","6Q7V+GFP, daikataela 56200, naepaala",27.2518125,86.7468125,0.0,daikataela,,,Missing description
712,saabarau elaaehaiima manadalaii,"8Q2X+WF, khaaramaii 56200, naepaala",27.3023309,86.7986598,0.0,khaaramaii,,,Missing description
713,khaotaamga bajaara,"khaotaamga bajaara 56200, naepaala",27.026608,86.8471308,,naepaala,,,Missing description
714,Haleshi Mahadev Temple,"5JVC+4V7, mahaadaewasathaana 56200, naepaala",27.1927785,86.6221567,4.8,mahaadaewasathaana,,,Missing description
715,Diktel Bazar,"daikataela 56200, naepaala",27.2231286,86.7878354,4.4,naepaala,,,Missing description
716,Mundhum Trail,"5WXH+Q9X, 57000, naepaala",27.1994849,86.9284717,4.9,57000,,,Missing description
717,Thalthale Picnic Spot,"2XJ4+H3, dhaotalaekhaanaii, naepaala",27.03143,86.955213,5.0,dhaotalaekhaanaii,,,Missing description
718,Rupakot Danda raupaakaota daamdaa,"7Q6J+JX7, daikataela 56200, naepaala",27.2615401,86.7824351,4.7,daikataela,,,Missing description
719,yau ena paaraka,"M8PG+6GJ, Park Ln, lalaitapaura 44700, naepaala",27.6855826,85.3262662,3.9,Park Ln,,,Missing description
720,Our Lady Of Assumption Church,"M8F4+3J4, Jhamsikhel Road, lalaitapaura 44700, naepaala",27.6726342,85.306591,4.6,Jhamsikhel Road,,,Missing description
721,Jame Masjid Patan,"M8FH+4VG, lalaitapaura 44700, naepaala",27.672801,85.3297129,4.5,lalaitapaura,,,Missing description
722,paatana samgarahaalaya,"M8FG+944, bhainadayao kawa - saauga: laँ, lalaitapaura 44700, naepaala",27.6733773,85.3253361,4.6,bhainadayao kawa - saauga: laँ,,,Missing description
723,NEW AQARIUM Center,"Hospital Rd, lalaitapaura 44700, naepaala",27.6691469,85.3217997,4.1,lalaitapaura,,,Missing description
724,Balkumari Picnic Spot,"J8HC+RPQ Balkumari Temple, lalaitapaura 44700, naepaala",27.6295823,85.321853,4.1,lalaitapaura,,,Missing description
725,padayaataraa naepaalakaa laagai,"Bharma Kumari Marga, kaathamaadaauँ 44600, naepaala",27.7131801,85.3124974,4.6,kaathamaadaauँ,,,Missing description
726,"Gairikhoriya(Koiralaphant),Lamjung,Nepal.","48XF+FGX, Koiralaphant 33600, naepaala",28.1487347,84.3238547,4.8,Koiralaphant,,,Missing description
727,phaisataela daraiima paaraka,"5XGR+2G7, baagamaaraa raoda, paokharaa 33700, naepaala",28.174387,83.9925495,4.1,baagamaaraa raoda,,,Missing description
728,The Church of Children of Light,"36RW+P7P, samaibhanajayaamga 33600, naepaala",28.0918378,84.2456939,5.0,samaibhanajayaamga,,,Missing description
729,Lamjung Durbar,"6978+7Q3, waesaiishahara 33600, naepaala",28.2131351,84.3669256,4.4,waesaiishahara,,,Missing description
730,phaaijana East mausakaila kaushaa mausalalaa,"69HH+H46, waesaiishahara 33600, naepaala",28.2289239,84.3777857,5.0,waesaiishahara,,,Missing description
731,SHILPI MUSEUM,"waesaiishahara 33600, naepaala",28.205943,84.3707288,5.0,naepaala,,,Missing description
732,Akaladevi Mandir akalaadaewaii manadaira,"5C6Q+3G9, daumarae-baesaishahara-chaamae raajamaaraga, bhaotaeodaara 33600, naepaala",28.1601589,84.4388693,4.6,daumarae-baesaishahara-chaamae raajamaaraga,,,Missing description
733,Bhulbhule Canyoning Lamjung,"79RG+MGR, khaudaii 33600, naepaala",28.2917289,84.3762741,4.5,khaudaii,,,Missing description
734,LIPE HILL,"ilaama paokharaii 33600, naepaala",28.2359081,84.5570933,5.0,naepaala,,,Missing description
735,Campsite on Upper Marsyangdi reservoir,"8C72+9RW, baahaunadaaँdaa 33600, naepaala",28.3134908,84.4020769,5.0,baahaunadaaँdaa,,,Missing description
736,shahaiida samaaraka paaraka,"CXVX+2R, haetaaudaa 44100, naepaala",27.4430853,84.9999735,4.3,haetaaudaa,,,Missing description
737,Adventure World Hetauda,"CXVX+2R, haetaaudaa 44100, naepaala",27.4423914,85.0003456,5.0,haetaaudaa,,,Missing description
738,Makwanpur Prasansa Mandali,"C26M+6WG, haetaaudaa 44107, naepaala",27.4105998,85.0348503,5.0,haetaaudaa,,,Missing description
739,jaamae masajaida,"C2GP+MGQ, haetaaudaa 44107, naepaala",27.4267056,85.0364788,4.2,haetaaudaa,,,Missing description
740,Frn's Aquarium,"sharaii bhautanadaewaii uchacha maadhayamaika waidayaalaya, haetaaudaa 44107, naepaala",27.428594,85.0352454,4.9,haetaaudaa,,,Missing description
741,pashaupataii manadaira,"C29M+MFM, haetaaudaa 44107, naepaala",27.4192101,85.0336847,4.6,haetaaudaa,,,Missing description
742,Martyrs Memorial Park,"C2V2+V6J shahaiida satamabha, haetaaudaa 44100, naepaala",27.4420456,84.9999012,4.3,haetaaudaa,,,Missing description
743,Makawanpur Gadhi,"C46W+CX5, makawaanapauragadhaii 44100, naepaala",27.4110229,85.1474859,4.4,makawaanapauragadhaii,,,Missing description
744,sagaramaathaa paaidala yaataraa taraekaharauu ra abhaiyaana,"Pandey Chap Bus Park Kirtipur -15, 44100, naepaala",27.655663,85.276063,4.5,44100,,,Missing description
745,Makawanpur Gadi Picnic Spot,"C562+J6C, Trail to Makwanpur Gadhi, makawaanapauragadhaii 44100, naepaala",27.4115616,85.1505069,4.5,Trail to Makwanpur Gadhi,,,Missing description
746,kauwaapaanaii daaँdaa,"FWMP+VM3, haetaaudaa 44100, naepaala",27.4846314,84.936665,4.3,haetaaudaa,,,Missing description
747,New kachan,"94VF+WJR, namarajaumga 33700, naepaala",28.394857,84.124008,0.0,namarajaumga,,,Missing description
748,Tanki Manang,"M2C7+H8M, manaanga gaawaisa 33500, naepaala",28.6714712,84.0133118,4.7,manaanga,,,Missing description
749,manaanga samsakaृtai samgarahaalaya,"M28F+4MQ, tamkaii manaamnga 33500, naepaala",28.6653597,84.024244,4.0,tamkaii,,,Missing description
750,ananapaurana samrakashana kashaetara,"R2C8+5MX, jaomasaoma 33100, naepaala",28.8204837,84.0167423,4.6,jaomasaoma,,,Missing description
751,Samriddhi Aquarium,"5XVW+RC3, paokharaa 33700, naepaala",28.194521,83.9960592,5.0,paokharaa,,,Missing description
752,sharaii maukatainaatha manadaira,"Muktinath-Chumig Gyatsa Pilgrimage Site, maukatainaatha 33100, naepaala",28.8169466,83.871798,4.7,maukatainaatha,,,Missing description
753,thaorangagalaa bhanyajayaanga,"QWVQ+CFQ, Thorong Phedi - Thorong La Rd, tamkaii manaamnga 33500, naepaala",28.7935762,83.9387337,4.9,Thorong Phedi - Thorong La Rd,,,Missing description
754,Hotel Mountain Lake,"M27G+P6H, tamkaii manaamnga 33500, naepaala",28.6643135,84.0256055,4.2,tamkaii,,,Missing description
755,Itahara Chowk iitaharaa chaoँka,"GJP7+XGM, itaharaa 56600, naepaala",26.5374614,87.6137972,4.1,itaharaa,,,Missing description
756,yaipapaii layaanada,"itaharaii 56705, naepaala",26.6989948,87.2924747,4.3,naepaala,,,Missing description
757,Biratnagar Pravat Church,"Biratnagar Sub-Metropolitan -5, Kanchanbari, Morang, Koshi, naepaala",26.4839258,87.2728828,0.0,Kanchanbari,,,Missing description
758,baetanaa saimasaara,"MC5J+PR8, baelawaaraii 56600, naepaala",26.6592765,87.4320678,4.2,baelawaaraii,,,Missing description
759,"jaamaa masajaida ,wairaatanagara","Sarochiya Road, wairaatanagara 56613, naepaala",26.4582407,87.2775471,4.5,wairaatanagara,,,Missing description
760,ebharaeshata saaiinasa saenatara,"Barju - 5, Sitagunj, Sunsari, Nepal Sitagunj, naepaala",26.4476094,87.2126916,3.6,Sitagunj,,,Missing description
761,"Biratnagar Aquarium ""Modern Aquatic Pet""","haimaalaya halakao chhaeumaa, Biratnagar - 9, Himalaya Rd bairaatanagara - ९, haimaalaya raoda (mahaenadara chaoka, wairaatanagara, naepaala",26.4541004,87.278561,4.8,Biratnagar,,,Missing description
762,"Bajrangbali Temple, Gramthan - 7, Morang, Nepal","H8XV+849, banaigaamaa raoda, wanaigaamaa 56600, naepaala",26.5982809,87.3428583,5.0,banaigaamaa raoda,,,Missing description
763,Jirikhimti chowk morang,"MG6R+6WM Dash Khola, Dans Morangi Bridge, patharaii shanaishacharae 56600, naepaala",26.660576,87.5422845,5.0,Dans Morangi Bridge,,,Missing description
764,taala talayaa,"P822+323, itaharaii, naepaala",26.7001495,87.3000599,4.2,itaharaii,,,Missing description
765,Madan Bhandari Memorial Park,"chaitarawana 44200, naepaala",27.6553012,84.2844909,4.2,naepaala,,,Missing description
766,Anugrah Pabitra Church ( anaugaraha pawaitara characha ) - Biblical Church at Nawalparasi,"School chowk, gaaimdaakaota 33000, naepaala",27.697503,84.3072928,5.0,gaaimdaakaota,,,Missing description
767,saiijaii shaashawatadhaama,"33004, Dumkauli 33004, naepaala",27.6772404,84.2113584,4.2,Dumkauli,,,Missing description
768,Narayani River Amaltari,"H34R+FQQ, kaawaasaotaii 33007, naepaala",27.556206,84.0919986,5.0,kaawaasaotaii,,,Missing description
769,Parsa Nepali Jame Masjid,"JH48+VGV, Sichai Rd, khaairahaanaii 44200, naepaala",27.6072261,84.5663111,4.3,Sichai Rd,,,Missing description
770,Kalawati Art Garden,"P93Q+MC6, VijayaNagar Marg, I 33000, naepaala",27.7041755,84.3885186,4.5,VijayaNagar Marg,,,Missing description
771,"Raju Arts, Parasi, Nawalparasi","GMJ8+97V, raamagaraama 33007, naepaala",27.530988,83.6656641,4.0,raamagaraama,,,Missing description
772,Riders Mountain Bike Station and Kids Cycle Store,"Bharatpur 3, Kamalnagar, 44200, naepaala",27.6947346,84.420453,4.8,Kamalnagar,,,Missing description
773,British Camp Picnic Spot,"gaaimdaakaota 33000, naepaala",27.7217236,84.4269785,4.3,naepaala,,,Missing description
774,"Arelighari dhodeni, Nawalparasi","Arelighari dhodeni to, gaaimdaakaota 33000, naepaala",27.7505808,84.3817729,4.0,gaaimdaakaota,,,Missing description
775,jamadaara baajaekao ghara ghalaana baajae,"W598+QC8, baidaura 44900, naepaala",27.9194201,85.1660825,0.0,baidaura,,,Missing description
776,SB,"paasaanga lahaamau raajamaaraga, baidaura 44900, naepaala",27.9407509,85.1572659,5.0,baidaura,,,Missing description
777,Battar New Vision Church Inarpati,"Inarpati, Bidur-6, baidaura 44900, naepaala",27.9043554,85.1531216,4.0,Bidur-6,,,Missing description
778,nauwaakaota saata-talae darabaara,"W577+FRQ, nauwaakaota sadaka, baidaura 44900, naepaala",27.9137229,85.1646211,4.4,nauwaakaota sadaka,,,Missing description
