id,name,address,latitude,longitude,rating,second_word,types,description,removal_reason
29,Kalika Bhagwati Community Forest,"7J47+892, Bhagawati Path, Baglung 33300, Nepal",28.2557602,83.6133779,4.0,Bhagawati Path,"park, point_of_interest, establishment",,Missing description
30,Taksar Bazar takasaara bajaara,"Bhojpur Sadak, Bhojpur 57000, Nepal",27.1573375,87.0509521,4.2,Bhojpur,"museum, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
31,Sindhuligadi Memorial Park,"7XJ4+2GQ, Dhulikhel Sindhuli Bhittamod Rajmarg, Jalkanya 45900, Nepal",27.2800772,85.9563604,4.4,Dhulikhel Sindhuli Bhittamod Rajmarg,"park, point_of_interest, establishment",Dhulikhel,Description too short (< 10 words)
32,Birendra Aishwarya Park,"7J72+XF7, Baglung 33300, Nepal",28.2649155,83.60118,4.8,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
33,"Baglung Municipality-2, Purano Bus park, Yashora Park","7J72+WJF, Baglung 33300, Nepal",28.2648102,83.601561,2.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
34,Rudra lake Baglung Nepal,"7HGJ+XJH, Baglung 33300, Nepal",28.2774326,83.581615,5.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
35,10000 liters of water tank,"7HWP+MH5, phaedaii, Baglung, Nepal",28.2966493,83.586496,5.0,phaedaii,"park, point_of_interest, establishment",,Missing description
36,Rudraman Gurung Memorial Park(raudaramaana gauraunga samaृtaipaaraka,"Baglung-10, Bhakunde, Nepal",28.2774326,83.581615,5.0,Bhakunde,"park, point_of_interest, establishment",,Missing description
37,Farmers Father DevDhawal Park,"7J47+R2, Baglung 33300, Nepal",28.2570579,83.6125858,5.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
38,salalaenaii paakhaa saamaudaayaika bana,"8H2H+8R5, Unnamed Road, Baglung 33300, Nepal",28.3007654,83.5796088,5.0,Unnamed Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
39,Bhimpokhara,"7GQH+XXX, Baglung 33300, Nepal",28.29,83.53,4.7,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
40,Sansaarkot vault,"7HW2+48H titaure sansar kot, Baglung 33300, Nepal",28.2953026,83.5508645,4.7,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
41,Muggling hill,"7HHH+9R8, Baglung 33300, Nepal",28.2784187,83.5795731,5.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
42,UK KRISHI TATHA PASHUPANCHI FARM,"7JH2+GRX, Baglung 33300, Nepal",28.2788634,83.6021242,5.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
43,Sahid Smriti Park DHAULAGIRI BAGLUNG,"7J64+GFF, Baglung 33300, Nepal",28.2613157,83.6061683,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
44,B.P. Smriti Park,"Yog Nath Kandel's Home, Baglung 33300, Nepal",28.2666073,83.6060378,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
45,Kripa,"7H8X+2J2, Baglung 33300, Nepal",28.2648024,83.5985629,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
46,Hariyali park,"7J92+PWV, Baglung 33300, Nepal",28.269357,83.6022898,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
47,Birendra Aishworya Park,"7JG2+535, Baglung 33300, Nepal",28.2753953,83.6002499,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
48,Ismriti prak,"7J84+GC7, Baglung 33300, Nepal",28.2662807,83.6060455,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
49,"Mannaya, Dhimi","7H95+6GQ, Baglung 33300, Nepal",28.2680787,83.5588605,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
50,Aashish thapa,"7HGJ+XJH, Baglung 33300, Nepal",28.2774326,83.581615,0.0,Baglung,"park, point_of_interest, establishment",Bāglung,Description too short (< 10 words)
51,Sansaarkot samsaarakaota,"baa na paa ७, taitaaurae, Baglung, Nepal",28.2774326,83.581615,0.0,taitaaurae,"park, point_of_interest, establishment",,Missing description
52,Maire khola jharana (Waterfall),"972C+HWR, Bajura 10600, Nepal",29.3514949,81.2722595,5.0,Bajura,"park, point_of_interest, establishment",Bajura,Description too short (< 10 words)
53,Sahid Smriti Udyan,"MCFF+CXP, Unnamed Road, Bhaktapur 44800, Nepal",27.6735852,85.4249554,4.2,Unnamed Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
54,Inacho iinaachao,"MCCM+XJV, Bhaktapur 44800, Nepal",27.6724809,85.4340592,4.2,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
55,ganaesha chaautaaraii Ganesh Choutari,"MCF4+F48, Unnamed Road, Bhaktapur 44800, Nepal",27.6736737,85.4054584,4.7,Unnamed Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
56,Bhoula pukhu,"MCFJ+WMG Bholachhen Pond, Bhaktapur 44800, Nepal",27.6748115,85.4317032,5.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
57,"Kamal Binayak, Bhaktapur","MCGQ+P3X Pokhari, Kamalbinayak, Bhaktapur 44800, Nepal",27.6768477,85.4384818,4.8,Kamalbinayak,"park, point_of_interest, establishment",,Missing description
58,Jhaukhel pipal boat jhaaaikhaela paipala baaeta,"MCPJ+Q2W, Bhaktapur 44800, Nepal",27.6869946,85.4301197,4.7,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
59,Jagat Sundar Statue,"MCCG+XRG, Bhaktapur 44800, Nepal",27.6724393,85.4270837,5.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
60,Dugure Ground,"MCFR+X48, Bhaktapur 44800, Nepal",27.6749088,85.4403228,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
61,Single Bar,"MCGJ+MHM, Bhaktapur 44800, Nepal",27.6767052,85.4314316,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
62,Temple park,"MCF4+RVW, Bhaktapur 44800, Nepal",27.6745439,85.4074859,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
63,Pipalbot,"MCC8+JP7, Nagarkot Road, Bhaktapur 44800, Nepal",27.6715355,85.4167828,0.0,Nagarkot Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
64,Shahid udyan,"MCCH+CW4 Smriti Nagar, Bhaktapur 44800, Nepal",27.6710221,85.4298197,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
65,Changu Narayan,"MCFG+WX2, Bhaktapur 44800, Nepal",27.674766,85.4273979,5.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
66,phaulabaaraii,"MCCV+4MP, Bhaktapur 44800, Nepal",27.6703326,85.4441932,0.0,Bhaktapur,"park, point_of_interest, establishment",Bhaktapur,Description too short (< 10 words)
67,Gamcha Pipal Bottom,"M94R+WM4, Thimi-Biruwa Rd, Bhaktapur, Nepal",27.6572562,85.3917093,4.0,Thimi-Biruwa Rd,"park, point_of_interest, establishment",,Missing description
68,sallaghari,"MCF6+P94, Nagarkot Rd, Bhaktapur 44800, Nepal",27.6739946,85.4113633,0.0,Nagarkot Rd,"park, point_of_interest, establishment",Nagarkot,Description too short (< 10 words)
69,Suchana tole,"Bhaktapur 32701, Nepal",27.6634375,85.3781875,5.0,Nepal,"park, point_of_interest, establishment",,Missing description
70,Baniya Danda Naya Basti,"Bhaktapur, Nepal",27.6843543,85.4622264,5.0,Nepal,"park, point_of_interest, establishment",,Missing description
