id,name,address,latitude,longitude,location,types,
51,"Aarati Pustak Pasal , Dhakari Achham","X7X7+9J5, dhakaaraii 10700, naepaala",28.9983953,81.2641031,dhakaaraii, art_gallery,
52,Aarohan church,"8GC4+964, saidadhaicharana 56100, naepaala",27.3211426,86.5056085,saidadhaicharana,,
53,Aaru sisna bhanjyang,"RWGF+F3V, majhakaota 21500, naepaala",28.8262387,81.922657,majhakaota, picnic,
54,Aarughat Ticket Counter,"XJVG+QR9, haramtari, gaorakhaa, naepaala",27.9944021,84.6270469,haramtari, hike,
55,Aaryan House,"2PVG+P3W, bhaedaihaaraii 44400, naepaala",27.0443725,84.7252046,bhaedaihaaraii, hike,
56,Aasha Church,"Majhuwa, Meghe Chautara, Diktel Sadak 56200, Lafyang 56200, naepaala",27.1981679,86.8071476,Meghe Chautara, church,
57,Aashis Nissi Church Burkha aashaisha naisasaii characha baurakhaa,"W5P8+64, chhainataanga 56800, naepaala",26.9355032,87.1653382,chhainataanga, church,
58,Aashish thapa,"7HGJ+XJH, Baglung 33300, Nepal",28.2774326,83.581615,0,Baglung,
59,"Aasish Church,Kumakh RM-5,Salyan","H5G3+HQV Kumakh RM-5, Tmilkada 22200, naepaala",28.5764805,82.1544209,Tmilkada, church,
60,Aathbis municipality 9 dailekh,"2GXM+X8W, saimhaasaaina gaa.wai.sa. 21600, naepaala",29.05,81.533333,saimhaasaaina, picnic,
61,Aathbiskot Municipality Rukum,"Q9P2+JPM, aathabaisakaota 22000, naepaala",28.7865718,82.3518813,aathabaisakaota, mosque,
62,Aathbiskot Municipality Rukum West,"Q9WG+CR8, aathabaisakaota 22000, naepaala",28.7960256,82.3770862,aathabaisakaota, art_gallery,
63,"Aathrai-6, Chuhandada Tehrathum","6M3H+MG8, chauhaana daaँdaa 57500, naepaala",27.2041611,87.6788351,chauhaana,,
64,Aatitar,"4V23+M87, payauuthaana 22300, naepaala",28.1016595,82.8532928,payauuthaana, tourist_attraction,
65,Aauridada picnic spot,"5J7H+5W, bainaamaarae 33300, naepaala",28.1629646,83.6297754,bainaamaarae, picnic,
66,Abdul Hamidiya Mosque,"2PX9+79Q, bhaedaihaaraii 44300, naepaala",27.0482135,84.7184949,bhaedaihaaraii, mosque,
67,Abdul Rahman Masjid ram rekha Baglung,"7J83+4CM, baagalaunga 33300, naepaala",28.265389,83.6036399,baagalaunga,,
68,Abdul rahman,"R57R+JHG, jaowahaa 44500, naepaala",26.813043,85.190241,jaowahaa, park,
69,Abhisekh Mudabas Church,"P53F+5QX, daewachaulaii 33000, naepaala",27.7029954,84.1745002,daewachaulaii, church,
70,Abhishek Methodist Church,"3F87+W9W, daumarae-baesaishahara-chaamae raajamaaraga, paurakaota, naepaala",28.0673871,84.4634208,daumarae-baesaishahara-chaamae raajamaaraga, church,
71,Abhishek bohara,"H7JQ+G4, bhaataekhaolaa 10500, naepaala",29.5812832,81.2877731,bhaataekhaolaa, park,
72,Achakhel,"JGJG+WW6, Ghokechaur Marg, banaepaa 45210, naepaala",27.6322896,85.5272634,Ghokechaur Marg,,
73,Achham,"482V+CQF, kauikaa 10700, naepaala",29.1010979,81.3444558,kauikaa, picnic,
74,Achham Nepal binayak,"8822+MXP, 10700, naepaala",29.3017043,81.3024528,10700,,
75,Achham jayagadh kalika,"672F+4QH, 10700, naepaala",29.2003096,81.2744956,10700, tourist_attraction,
76,Actual Adventure Nepal Trekking,"kaeshara mahala, Tridevi Marga, kaathamaadaauँ 44600, naepaala",27.7146597,85.3139475,Tridevi Marga, trek,
77,Adanchuli Humla,"MRRR+JVJ, kaalaikaa 21000, naepaala",29.6915932,81.842144,kaalaikaa, mosque,
78,Adanchuli Rural Manicipalityko samgarahaalaya,"MV66+JHW, sharaiinagara 21000, naepaala",29.6616316,81.8614874,sharaiinagara, historic_site,
79,Adanchuli Rural Municipality,"MV57+Q2Q, sharaiinagara 21000, naepaala",29.6594568,81.8626248,sharaiinagara, picnic,
80,Adhikari temple,"2G82+F3C, taiilaepaataa 21600, naepaala",29.0161829,81.5001847,taiilaepaataa, hindu_temple,
81,Adi Buddha Handicraft,"PatakwoGalli, Lalitpur 44600, Nepal",27.6736156,85.3262615,Lalitpur,"museum, point_of_interest, establishment",
82,Adventure Equipment,"Setumari Road, damaka 57217, naepaala",26.6589094,87.6963826,damaka, trek,
83,"Adventure Gaurishankar - Nepal Trekking, Tour & Expedition Specialist","Maitri Marg, kaathamaadaauँ 44602, naepaala",27.7173349,85.3428844,kaathamaadaauँ, trek,
84,Adventure Trek and Tour,"M99M+JJX, ananatalaingagaeshawara, naepaala",27.6691141,85.3840868,ananatalaingagaeshawara, trek,
85,Adventure Trip Tour and Travels,"Vishkarma chowk, janakapaura 45600, naepaala",26.7226526,85.9230265,janakapaura, trek,
86,Adventure World Hetauda,"CXVX+2R, haetaaudaa 44100, naepaala",27.4423914,85.0003456,haetaaudaa,,
87,Aesamari Sattal of Taumadhi Square,,27.671034,85.429155,0,,
88,Aftab bhai,"W9HJ+28F, gamaharaiiyaa, naepaala",26.9275663,85.3807886,gamaharaiiyaa, mosque,
89,Agape church,"baneshwor 44600, naepaala",27.7035802,85.3370761,naepaala, church,
90,Agnishala,,27.67259121,85.32133179,0,,
91,Ahl-E Hadith Masjid Barsauli,"H4PM+XX8, Pakdi to wadari Road, waanagamgaa, naepaala",27.5874222,83.1349635,Pakdi to wadari Road, mosque,
92,Ahl-E Hadith New Masjid Madhukarpur,"Madhukar Pur (Bulakdihwa), Indo Nepal Border Trail, madhaurakarapaura 32800, naepaala",27.4547503,83.1071627,Indo Nepal Border Trail, mosque,
93,"Ahle Sunnat Jame Masjid, putali bazar syangja","3VXF+F34, pautalaiibajaara 33800, naepaala",28.0987322,83.8726771,pautalaiibajaara,,
94,Ahmadiyya Muslim Jamaat Nepal,"Babu ram acharya road, sainaamamgala raaeda 9, kaathamaadaauँ 44600, naepaala",27.6950889,85.3541801,sainaamamgala, mosque,
95,"Aijalon AG Church Darimjyula, Salyan","Chhatrshwari- 3 Darimjyula, naepaala",28.3282531,82.2504456,naepaala,,
96,Aijalon Jyoti Church,"8865+HX4, Simk 22200, naepaala",28.3113865,82.3099582,Simk, church,
97,Airawati Rural Municipality,"2W8J+228, baraaulaa 22300, naepaala",28.0150075,82.9300265,baraaulaa, mosque,
98,Airport Nagar Children’s Park,"Kathmandu 44600, Nepal",27.7024696,85.3660836,Nepal,"park, point_of_interest, establishment",
99,Ajay house jagarnathpur birgunj_22 paras nepal,"Jagarnathpur,birgunj_22, naepaala",27.1392746,84.7250072,birgunj_22, hindu_temple,
100,Ajayameru Dadeldhura,"9JH2+X2R, ajayamaerau 10300, naepaala",29.38,80.6,ajayamaerau, church,
101,"Ajirkot Rural Municipality, Bhachchek Gorkha","5J4X+84G, hamsapaura, naepaala",28.1558029,84.647886,hamsapaura, historic_site,
102,Ajirkot Trial,"4JXQ+XPC, hamsapaura, naepaala",28.1487541,84.6392516,hamsapaura, trek,
103,Ajirkot hill.,"4JXQ+XPC, Unnamed Road, hamsapaura, naepaala",28.1499792,84.6392518,Unnamed Road, monument,
104,Ajmeri Jama Masjid Matihani,"JR9P+WJ9, mataihaanaii 45700, naepaala",26.6197916,85.8366141,mataihaanaii, mosque,
105,Akala Devi,"V34Q+VP4, Machedi Rd, daedagaauँ, naepaala",27.8571074,84.0893013,Machedi Rd, hindu_temple,
106,Akala Devi temple,"V35C+Q73, D2, daedagaauँ, naepaala",27.8593972,84.0706761,D2, church,
107,Akaladevi Mandir akalaadaewaii manadaira,"5C6Q+3G9, daumarae-baesaishahara-chaamae raajamaaraga, bhaotaeodaara 33600, naepaala",28.1601589,84.4388693,daumarae-baesaishahara-chaamae raajamaaraga,,
108,Akase padhera,"967Q+9M, naramadaeshawaora 56100, naepaala",27.36346,86.239225,naramadaeshawaora, amusement_park,
109,Akmal mahira,"CHXG+RRP, gaowainadapaura 56600, naepaala",26.4493839,87.5787804,gaowainadapaura, museum,
110,Akolawa,"R65X+FH4, akaolawaa 44500, naepaala",26.8086254,85.2489603,akaolawaa, museum,
111,Akshayeshwor Mahabihar,,27.67914545,85.31701544,, Archaeological Site,
112,Al salfiya zama mosque,"2FWQ+5R6, Nayabazar Rd, ghaoraahaii 22400, naepaala",28.0454136,82.4895251,Nayabazar Rd,,
113,Al-Jamiatul Hanafiatul Ghausia Mosque,"PWHG+X28, jaanakaii mamdaira maaraga, janakapaura 45600, naepaala",26.7299182,85.9250859,jaanakaii mamdaira maaraga, mosque,
114,Alchhe Dhunga alachhae dhaumgaa,"6QGR+8JJ, daikataela 56200, naepaala",27.2252334,86.7921602,daikataela,,
115,Ali Gallery,"Hatiya,kapda line, raajawairaaja 56400, naepaala",26.5392829,86.7465829,kapda line, art_gallery,
116,Aliganj Masjid,"X6FR+28W, kataharaiyaa 44500, naepaala",26.9721811,85.2406279,kataharaiyaa, mosque,
117,Alita place,"3MHJ+6H8, payauuthaana 22300, naepaala",28.0780421,82.6814391,payauuthaana, historic_site,
118,All Nation Mission Center,"MVGJ+72R Nawa Jiwan Toll, Domukha Rd, shaiwasataakashaii 10, naepaala",26.675747,87.8800008,Domukha Rd, church,
119,Allau Jame Masjid,"waiiraganyaja 44300, naepaala",27.0222565,84.8390931,naepaala, mosque,
120,Alpha Church,"J5H4+8P, lamakaii chauhaa, naepaala",28.6285231,81.1560598,lamakaii chauhaa,,
121,AmaChhodingmo,"75XQ+XXX, gatalaanga 45000, naepaala",28.3,85.19,gatalaanga, church,
122,Amaare chautara -(amaarae chaautaaraa ),"3QJQ+XCH, naepaala",28.0824268,84.7886238,naepaala, amusement_park,
123,Aman Playground,"RRM6+32, raamagaopaalapaura 45700, naepaala",26.8327119,85.8100019,raamagaopaalapaura, park,
124,Amar fish shop,"JHRV+G4P, Khaireni - Suryapura Road, daewadaha nagarapaalaikaa 32900, naepaala",27.6414091,83.5928504,Khaireni - Suryapura Road, aquarium,
125,"Amaragadhi Park, Dadeldhura","7HRX+W85, amaragadhaii 10300, naepaala",29.2922668,80.5983538,amaragadhaii,,
126,Amarhaat Zoo,"R7JR+F9M, dharaana 56700, naepaala",26.8305516,87.2912167,dharaana, zoo,
127,Ambakdanda,"Phikkal 2, naepaala",27.2447824,86.2842107,naepaala, museum,
128,"Ambassa, Entry Point of Bardiya National Park","G86G+924, naeulaapaura 21800, naepaala",28.5107288,81.3251272,naeulaapaura,,
129,Ambedkar park,"VRRC+G54, auraahaii 45700, naepaala",26.8912665,85.8204646,auraahaii, park,
130,Ambika Aquarium Shop,"JJWC+M2Q, paaँchakhaala 45212, naepaala",27.6467352,85.6201242,paaँchakhaala, aquarium,
131,Ambote-Church,"36W7+J8F, 45900, naepaala",27.0965645,86.2132959,45900, church,
132,Amdangi FWB Church,"M5X5+RC4, maechaiinagara 57200, naepaala",26.6995216,88.1585844,maechaiinagara, church,
133,Amir Khan Jame Masjid,"RQ5F+XV5, ghayaalachaoka 45100, naepaala",27.8099003,84.7747662,ghayaalachaoka, mosque,
134,Amrit Art Gallery,"JH7M+53Q, mahaenadara raajamaaraga, khaairahaanaii 44202, naepaala",27.6129626,84.582726,mahaenadara raajamaaraga, art_gallery,
135,Amrit house,"634M+6GP Prem house, 32600, naepaala",28.2055902,83.0838207,32600, museum,
136,"Amtola Church, Nepal Mission Mission Nepal","ramgaelaii raoda, rangagaelaii 56600, naepaala",26.4640442,87.4647217,rangagaelaii, church,
137,Anaikot Bhanjyang anaaikaota bhanyajayaanga chaautaaraii,"MH8J+77H, paaँchakhaala, naepaala",27.6660365,85.5810221,paaँchakhaala, park,
138,Anant house [ Anant],"RQFX+96W, raamagaopaalapaura 45700, naepaala",26.8235112,85.7980992,raamagaopaalapaura, church,
139,Ananta A.G.F.N bhume 3 sima rukum East,"HMC8+48, mahata 22000, naepaala",28.5704856,82.66583,mahata, church,
