,id,name,address,latitude,longitude,rating,second_word,types,Description
173,233,Bhugol Park,"P834+PX3, Infront of bishal bazar, near basantpur, नयाँ सडक, Kathmandu, Nepal",27.704272,85.307417,4.3,Infront of bishal bazar,"park, point_of_interest, establishment","Nepal Rastra Bank has licensed 107 BFIs as of mid-July 2024. This is a list of banks and financial institutions in Nepal licensed by the Nepal Rastra Bank and their branches/ extension counters.


== Class A: Commercial banks ==
Commercial banks are classified as Class ""A"" banks by the Nepal Rastra Bank."
174,234,pashupatinath park,"44600, Kathmandu 44600, Nepal",27.7102241,85.3494938,5.0,Kathmandu 44600,"park, point_of_interest, establishment","Chitwan National Park is the first national park of Nepal. It was established in 1973 as the Royal Chitwan National Park and was granted the status of a World Heritage Site in 1984. It covers an area of 952.63 km2 (367.81 sq mi) in the subtropical Inner Terai lowlands of south-central Nepal in Nawalpur, Chitwan, Makwanpur and Parsa Districts."
175,235,khotang bazar,"2VR2+45P, 2, Khotang Bazar 56200, Nepal",27.0403397,86.8504639,0.0,2,"park, point_of_interest, establishment","Khotang Bazar is a village and Village Development Committee  in Khotang District in Province No. 1 in eastern Nepal. At the time of the 1991 Nepal census, it had a population of 2,433 persons living in 458 individual households....."
176,236,UN Park,"M8PG+6GJ, Park Ln, Lalitpur 44700, Nepal",27.6855826,85.3262662,3.9,Park Ln,"park, point_of_interest, establishment","Grace Park (born March 14, 1974) is an American-Canadian actress and model, known for her roles in the science-fiction series Battlestar Galactica, as Shannon Ng in the Canadian teen soap opera series Edgemont, as Officer Kono Kalakaua in the police procedural Hawaii Five-0, and as Katherine Kim in A Million Little Things.


== Early life ==
Born in Los Angeles, Park moved with her family to Canada when she was 22 months old. She was raised in the Vancouver neighbourhood of Kerrisdale."
177,237,Yaualakhel Park,"M8H5+44J, Lalitpur 44701, Nepal",27.6778486,85.3077674,4.0,Lalitpur 44701,"park, point_of_interest, establishment",
178,238,Jawalakhel Park,"M8F7+897, Lalitpur 44600, Nepal",27.6732833,85.3134109,4.3,Lalitpur 44600,"park, point_of_interest, establishment","Tiger attacks are a form of human–wildlife conflict which have killed more humans than attacks by any of the other big cats, with the majority of these attacks occurring in Bangladesh, India, Nepal and Southeast Asia.


== Reasons for attacking ==

Like most other predators, tigers tend to attack humans only while hunting or when they feel threatened. If a human comes too close and surprises a sleeping or feeding tiger, or a tigress with her cubs, the tiger is prone to respond with aggression."
179,239,"Kusunti Height, Bista Pakha Park","M866+4G5, Lalitpur 44700, Nepal",27.6595799,85.3113759,4.0,Lalitpur 44700,"park, point_of_interest, establishment",
180,240,Manmohan Park,"M7JX+VRV, Lalitpur 44600, Nepal",27.6822363,85.2995521,3.6,Lalitpur 44600,"park, point_of_interest, establishment","The 2012 Indian stamp featured Srinivasa Ramanujan. 
The Indian government declared 22 December to be celebrated as National Mathematics Day every year to mark the birth anniversary of the Indian mathematician Srinivasa Ramanujan. It was introduced by Prime Minister Manmohan Singh on 26 December 2011 at Madras University, to mark the 125th birth anniversary of the Indian mathematician Srinivasa Ramanujan."
181,241,Syosyo Hajurba Chowk Park,"M866+93V, Kusunti-13, Hajurba Chowk, Kusunti Kumar Peeth Marg, Lalitpur 44700, Nepal",27.6607405,85.3100864,4.2,Kusunti-13,"park, point_of_interest, establishment",
182,242,Guita Open Garden,"M8CM+JC7, Lalitpur 44600, Nepal",27.6715494,85.3335605,4.1,Lalitpur 44600,"park, point_of_interest, establishment",
183,243,Duniya Danda Green Park,"M827+3QP, Lalitpur 44700, Nepal",27.6502044,85.314441,3.8,Lalitpur 44700,"park, point_of_interest, establishment",
184,244,Lalitpur Metro Park,"M8G8+MJ2 Jhanakhya Metro Park झनाख्यः मेत्रो पार्क, Lalitpur 44600, Nepal",27.6767753,85.3164651,4.7,Lalitpur 44600,"park, point_of_interest, establishment","Chiri Babu Maharjan (Nepali: चिरी बाबु महर्जन) is a Nepali politician serving as the Mayor of Lalitpur Metropolitan City since 2017. A member of the Nepali Congress since 1989, he won the local elections of the then Lalitpur Municipality in the years 1981, 1987, and 1992, and consequently served as a Ward Chairperson of the 03-Ward for three times.
Maharjan was born in Lalitpur, Nepal."
185,245,Sahid Smarak Park,"M8Q2+8GM, Lalitpur 44600, Nepal",27.6883469,85.3013095,3.8,Lalitpur 44600,"park, point_of_interest, establishment","Sahid Smarak (Nepali: सहिद स्मारक) is situated at the west of Hetauda city. It is one of the parks in the Hetauda.


== Madan Bhandari Sculpture ==

Madan Kumar Bhandari (Nepali: मदन कुमार भण्डारी) (June 27, 1952 – 1993) was a Nepalese politician and communist leader."
186,246,Safal Park,"M864+FXP, Lalitpur 44600, Nepal",27.6612102,85.3074545,4.0,Lalitpur 44600,"park, point_of_interest, establishment","""Safe Space"" is the fifth episode of the nineteenth season and the 262nd overall episode of the animated television series South Park, written and directed by series co-creator Trey Parker. The episode premiered on Comedy Central on October 21, 2015. It parodies the idea of safe spaces while also continuing the season-long lampoon on political correctness."
187,247,Jwagal Children Park / Jwagala Machakhya,"M8PC+CHP, Lalitpur 44600, Nepal",27.6866,85.3219281,4.0,Lalitpur 44600,"park, point_of_interest, establishment",
188,248,Butterfly square,"Lalitpur 44600, Nepal",27.673398,85.315603,4.7,Nepal,"park, point_of_interest, establishment","In chaos theory, the butterfly effect is the sensitive dependence on initial conditions in which a small change in one state of a deterministic nonlinear system can result in large differences in a later state.
The term is closely associated with the work of the mathematician and meteorologist Edward Norton Lorenz. He noted that the butterfly effect is derived from the example of the details of a tornado (the exact time of formation, the exact path taken) being influenced by minor perturbations such as a distant butterfly flapping its wings several weeks earlier."
189,249,"Imadol, Bhojhepokhari","M87X+WFM, बोजे पोखरी मार्ग, Lalitpur 44600, Nepal",27.6648369,85.3486734,4.3,बोजे पोखरी मार्ग,"park, point_of_interest, establishment",
190,250,Shovahiti(ढुङ्गेधारा),"M848+RGW, Lalitpur 44700, Nepal",27.6571154,85.3163243,3.7,Lalitpur 44700,"park, point_of_interest, establishment",
191,251,Shanti Batika,"M8C6+8PC, Lalitpur 44600, Nepal",27.6708246,85.3117779,4.1,Lalitpur 44600,"park, point_of_interest, establishment","Greater Nepal is an irredentist concept in Nepal, which claims current Indian and Bangladeshi territories beyond Nepal's present-day boundaries. These claims typically include the areas controlled by Nepal between 1791 and 1816, a period that ended with the Anglo-Nepalese War and the signing of Sugauli Treaty. In addition, extensive territories in the present-day Indian states of Uttarakhand,  Himanchal Pradesh, Uttar Pradesh, Bihar, West Bengal and some parts of Bangladesh are also included in the claims of the activist organisation Greater Nepal Nationalist Front, which demands the ""return"" of these territories to Nepal."
192,252,Bagdole Batika,"M77W+VPW, Bagdol Rd, Lalitpur 44600, Nepal",27.6647495,85.2968308,4.2,Bagdol Rd,"park, point_of_interest, establishment",
193,253,dadathok park,"Lalitpur, Nepal",27.6331875,85.3823125,4.1,Nepal,"park, point_of_interest, establishment",
194,254,Park बगैँचा,"M8C6+7RG, Lalitpur 44600, Nepal",27.6707077,85.3119828,4.0,Lalitpur 44600,"park, point_of_interest, establishment",
195,255,"Gagan Batika, Nagbahal","M8GF+8G5, Nagabahal - Nyadha Galli, Lalitpur 44600, Nepal",27.6757678,85.3238613,4.5,Nagabahal - Nyadha Galli,"park, point_of_interest, establishment",
196,256,Patan Dhoka Chautara (चौतारी),"M8HC+C9H, Campus Rd, Lalitpur 44700, Nepal",27.6784528,85.3209749,4.5,Campus Rd,"park, point_of_interest, establishment",
197,257,Park बगैँचा,"M8C8+QM3, Lalitpur 44600, Nepal",27.6718051,85.3167772,4.0,Lalitpur 44600,"park, point_of_interest, establishment",
198,258,Pocket park,"M8F7+XV3, Lalitpur 44600, Nepal",27.674891,85.3146708,5.0,Lalitpur 44600,"park, point_of_interest, establishment","A pocket park (also known as a parkette, mini-park, vest-pocket park or vesty park) is a small park accessible to the general public. While the locations, elements, and uses of pocket parks vary considerably, the common defining characteristic of a pocket park is its small size. Typically, a pocket park occupies one to three municipal lots and is smaller than 0.5 hectares (1 acre) in size."
199,259,Park बगैचा,"M885+QC7, Ekantakuna Rd, Lalitpur 44600, Nepal",27.666975,85.308411,4.0,Ekantakuna Rd,"park, point_of_interest, establishment",
200,260,Hattiban,"J8XM+HHW, गोदावरी रोड़, Lalitpur 44700, Nepal",27.6484973,85.3335739,4.8,गोदावरी रोड़,"park, point_of_interest, establishment",
201,261,Park,"M8G5+68G, Lamochaur Sadak, Lalitpur 44600, Nepal",27.6755722,85.3083139,5.0,Lamochaur Sadak,"park, point_of_interest, establishment",
202,262,Playground Park,"M8HJ+7MV Bangalamukhi, Sankhamul - Balkumari Rd, Lalitpur 44700, Nepal",27.6784653,85.3316199,3.0,Sankhamul - Balkumari Rd,"park, point_of_interest, establishment","A playground, playpark, or play area is a place designed to provide an environment for children that facilitates play, typically outdoors. While a playground is usually designed for children, some are designed for other age groups, or people with disabilities. A playground might exclude children below (or above) a certain age."
203,263,Imukhel Bal Udhyan,"M8HG+9GV, Lalitpur 44600, Nepal",27.6784968,85.3261163,4.2,Lalitpur 44600,"park, point_of_interest, establishment",
204,264,Children’s park,"M85F+GV4, Lalitpur 44700, Nepal",27.6587525,85.3247183,4.5,Lalitpur 44700,"park, point_of_interest, establishment",
205,265,Lamochaur Jhamsikhel Park,"M8G5+PGP, Jhamsikhel Road, Lalitpur 44600, Nepal",27.6765137,85.3089261,3.3,Jhamsikhel Road,"park, point_of_interest, establishment",
206,266,Jhanakhya Metro Park झनाख्यः मेत्रो पार्क,"M8G8+JJC, Lalitpur 44600, Nepal",27.6765719,85.3165,4.2,Lalitpur 44600,"park, point_of_interest, establishment",
207,267,Shant Vawan Uddhan,"M8J4+35W, Milap Rd, Lalitpur 44600, Nepal",27.6802361,85.3054521,4.0,Milap Rd,"park, point_of_interest, establishment",
208,268,RN Joshi Museum / Park Gallery,"Opposite to Jhamsikhel Road, Pulchowk, Lalitpur 44600, Nepal",27.6754787,85.3159635,3.5,Pulchowk,"tourist_attraction, art_gallery, museum, point_of_interest, establishment","Park Gallery is an artist-run space which is located in Patan, Nepal. It was founded by Rama Nanda Joshi, artist, art teacher and art activist in 1970. The establishment of Park Gallery was an event of a historical importance in Nepal — the first school that taught modern art and a modern art gallery — an institution committed to the ideals of promoting the principles of modern art in Nepal."
209,269,Public Fitness Park,"J8MQ+WXC, Lalitpur 44700, Nepal",27.6349745,85.3399475,5.0,Lalitpur 44700,"park, point_of_interest, establishment","An urban park or metropolitan park, also known as a city park, municipal park (North America), public park, public open space, or municipal gardens (UK), is a park or botanical garden in cities, densely populated suburbia and other incorporated places that offers green space and places for recreation to residents and visitors. Urban parks are generally landscaped by design, instead of lands left in their natural state. The design, operation and maintenance is usually done by government agencies, typically on the local level, but may occasionally be contracted out to a park conservancy, ""friends of"" group, or private sector company."
210,270,Mahalaxmisthan,"M869+VGQ, M869+H8C Mahalaxmisthan Chowk, Lalitpur 44700, Nepal",27.661345,85.3183185,4.0,M869+H8C Mahalaxmisthan Chowk,"park, point_of_interest, establishment","Dipankha Yatra (Devanagari: दिपंखा यात्रा ) (also spelt Deepankha Yatra, Dipankar Yatra) is a pilgrimage that takes place around the heart of Nepal ""The Kathmandu Valley"". Devotees walk through the journey barefooted to 131 religious destinations within 2 days. The timing is decided by the astrological calendar."
211,271,Ganeshman Singh Park गणेशमान सिंह पार्क,"Administrative staff college, Lalitpur 44600, Nepal",27.670977,85.3121766,4.0,Lalitpur 44600,"park, point_of_interest, establishment",
212,272,Small park,"M8C6+8PC Shanti Batika, Lalitpur 44600, Nepal",27.6708704,85.3118591,3.0,Lalitpur 44600,"park, point_of_interest, establishment","Fort Heath was a US seacoast military installation for defense of the Boston and Winthrop Harbors with an early 20th-century Coast Artillery fort, a 1930s USCG radio station, prewar naval research facilities, World War II batteries, and a Cold War radar station. The fort was part of the Harbor Defenses of Boston (Coast Defenses of Boston 1913–1925) and was garrisoned by the United States Army Coast Artillery Corps. The fort's military structures have been replaced by a residential complex, including the luxurious Forth Heath Apartments, and recreation facilities of Small Park, which has both a commemorative wall and an historical marker for Fort Heath."
213,273,Khusi The Happiness,"J8VH+WPF, Airawat, Lalitpur 44700, Nepal",27.6448163,85.3293102,4.2,Airawat,"park, point_of_interest, establishment",Khusi (Nepali: खुसी) is a autobiographical book by Vijay Kumar Pandey. It was published in 2014 by FinePrint Publications and won the  Madan Puraskar. The title of the book means happiness in Nepali language.
214,274,lagankhel,"M88C+GV8, Lalitpur 44700, Nepal",27.6662809,85.3222121,4.0,Lalitpur 44700,"park, point_of_interest, establishment","Demchok (Tibetan: ཌེམ་ཆོག, Wylie: bde mchog, THL: dem chok),
previously called New Demchok,
and called Parigas (Chinese: 巴里加斯; pinyin: Bālǐ jiā sī) by the Chinese,
is a village and military encampment in the Indian-administered Demchok sector, that is disputed between India and China. It is administered as part of the Nyoma tehsil in the Leh district of Ladakh by India, and claimed by China as part of the Tibet Autonomous Region.
The Line of Actual Control (LAC) passes along the southeast side of the village, along the Charding Nullah (also called Demchok River and Lhari stream) which joins the Indus River near the village."
215,275,King Birendra Circle Statue,"M8F7+4CX, Lalitpur 44600, Nepal",27.6728544,85.3136146,4.3,Lalitpur 44600,"park, point_of_interest, establishment","Kathmandu, officially the Kathmandu Metropolitan City, is the seat of federal government and the most populous city in Nepal. As of the 2021 Nepal census, there were 845,767 inhabitants living in 105,649 households and approximately 4 million people in its surrounding agglomeration. It is located in the Kathmandu Valley, a large valley surrounded by hills in central Nepal, at an altitude of 4,344 feet (1,324 metres) above sea level."
216,276,"Ookhar Bot, sitapakha, Lalitpur","J8XR+64H, Ookharko Bot, Sitapakha, Lalitpur, Nepal",27.6480741,85.3403555,5.0,Ookharko Bot,"park, point_of_interest, establishment",
217,277,E's Nest Bike Park,"Lalitpur 44600, Nepal",27.677599,85.300297,3.4,Nepal,"park, point_of_interest, establishment","Quiet Waters Park is a 430-acre (1.7 km2) Broward County Park in Deerfield Beach, Florida. Quiet Waters Park is known locally for its annual Renaissance Festival and Ski Rixen cable water-skiing system. Ski Rixen is one of 79 cable water-ski attractions in the world, and the only wakeboard and water ski resort in South Florida."
218,278,Ji Swā Chuka,"M8FG+948, Lalitpur 44700, Nepal",27.6733286,85.3255595,4.0,Lalitpur 44700,"park, point_of_interest, establishment",
219,279,Dhadkhola,"Harraboat Lamjung, Tarkughat 33600, Nepal",28.1180855,84.4403973,0.0,Tarkughat 33600,"park, point_of_interest, establishment",
220,280,Martyr Rudra Pakhrin Memorial Park,"C39F+M5H, Makwanpurgadhi, Nepal",27.4191828,85.0729705,4.6,Makwanpurgadhi,"park, point_of_interest, establishment",
221,281,Nachai,"M288+MM7, Manang 33500, Nepal",28.666667,84.016667,0.0,Manang 33500,"park, point_of_interest, establishment",
222,282,Milarepa Memorial Park,"M28G+857, Manang Sadak, Bhraka 33500, Nepal",28.6657967,84.0254185,5.0,Manang Sadak,"park, point_of_interest, establishment","Réka Tóth-Vásárhelyi (artist name: Renka) (Budapest, 27 July 1975 – ) is a Hungarian wood and textile artist, Kokeshi artist and art teacher, a maker of kokeshi dolls, the first foreign prize winner of the 2015 National Kokeshi Doll Competition in Shiroishi, Japan and its first foreign grand prize winner in 2016. She is a representative of the modern branch of Kokeshi Art.


== Family ==
Her father, József Tóth-Vásárhelyi, is an architect, and her mother, Éva Tóth-Vásárhelyi, is a history teacher."
223,283,Thorang peak,"QXCJ+83M, Tanki Manang 33500, Nepal",28.7708273,83.9801738,4.0,Tanki Manang 33500,"park, point_of_interest, establishment","Mizoram is a land of rolling hills, valleys, rivers, and lakes in Northeast India. As many as 21 major hill ranges or peaks of different heights run through the length and breadth of the state, with plains scattered here and there. The average height of the hills to the west of the state is about 1,000 metres (3,300 feet)."
