id,name,address,latitude,longitude,rating,second_word,types
,Farmers Father DevDhawal Park,"7J47+R2, Baglung 33300, Nepal",28.2570579,83.6125858,5.0,Baglung,"park, point_of_interest, establishment"
,सल्लेनी पाखा सामुदायिक बन,"8H2H+8R5, Unnamed Road, Baglung 33300, Nepal",28.3007654,83.5796088,5.0,Unnamed Road,"park, point_of_interest, establishment"
,Bhimpokhara,"7GQH+XXX, Baglung 33300, Nepal",28.29,83.53,4.7,Baglung,"park, point_of_interest, establishment"
,Sansaarkot संसारकोट तितौरे,"7HW2+48H titaure sansar kot, Baglung 33300, Nepal",28.2953026,83.5508645,4.7,Baglung,"park, point_of_interest, establishment"
,मंगलेको डाँडा,"7HHH+9R8, Baglung 33300, Nepal",28.2784187,83.5795731,5.0,Baglung,"park, point_of_interest, establishment"
,UK KRISHI TATHA PASHUPANCHI FARM,"7JH2+GRX, Baglung 33300, Nepal",28.2788634,83.6021242,5.0,Baglung,"park, point_of_interest, establishment"
,Sahid Smriti Park DHAULAGIRI BAGLUNG,"7J64+GFF, Baglung 33300, Nepal",28.2613157,83.6061683,0.0,Baglung,"park, point_of_interest, establishment"
,B.P. Smriti Park,"Yog Nath Kandel's Home, Baglung 33300, Nepal",28.2666073,83.6060378,0.0,Baglung,"park, point_of_interest, establishment"
,Kripa,"7H8X+2J2, Baglung 33300, Nepal",28.2648024,83.5985629,0.0,Baglung,"park, point_of_interest, establishment"
,Hariyali park,"7J92+PWV, Baglung 33300, Nepal",28.269357,83.6022898,0.0,Baglung,"park, point_of_interest, establishment"
,Birendra Aishworya Park,"7JG2+535, Baglung 33300, Nepal",28.2753953,83.6002499,0.0,Baglung,"park, point_of_interest, establishment"
,Ismriti prak,"7J84+GC7, Baglung 33300, Nepal",28.2662807,83.6060455,0.0,Baglung,"park, point_of_interest, establishment"
,"Mannaya, Dhimi","7H95+6GQ, Baglung 33300, Nepal",28.2680787,83.5588605,0.0,Baglung,"park, point_of_interest, establishment"
,Aashish thapa,"7HGJ+XJH, Baglung 33300, Nepal",28.2774326,83.581615,0.0,Baglung,"park, point_of_interest, establishment"
,Sansaarkot संसारकोट,"बा न पा ७, तितौरे, Baglung, Nepal",28.2774326,83.581615,0.0,तितौरे,"park, point_of_interest, establishment"
,Maire khola jharana (Waterfall),"972C+HWR, Bajura 10600, Nepal",29.3514949,81.2722595,5.0,Bajura,"park, point_of_interest, establishment"
,Banke National Park,"Banke National Park, 21900, Nepal",28.1758206,81.8879884,,21900,"premise, park, point_of_interest, establishment"
,Sahid Smriti Udyan,"MCFF+CXP, Unnamed Road, Bhaktapur 44800, Nepal",27.6735852,85.4249554,4.2,Unnamed Road,"park, point_of_interest, establishment"
,Inacho ईनाचो,"MCCM+XJV, Bhaktapur 44800, Nepal",27.6724809,85.4340592,4.2,Bhaktapur,"park, point_of_interest, establishment"
,गणेश चौतारी Ganesh Choutari,"MCF4+F48, Unnamed Road, Bhaktapur 44800, Nepal",27.6736737,85.4054584,4.7,Unnamed Road,"park, point_of_interest, establishment"
,Bhoula pukhu,"MCFJ+WMG Bholachhen Pond, Bhaktapur 44800, Nepal",27.6748115,85.4317032,5.0,Bhaktapur,"park, point_of_interest, establishment"
,"Kamal Binayak, Bhaktapur","MCGQ+P3X Pokhari, Kamalbinayak, Bhaktapur 44800, Nepal",27.6768477,85.4384818,4.8,Kamalbinayak,"park, point_of_interest, establishment"
,Jhaukhel pipal boat झाैखेल पिपल बाेट,"MCPJ+Q2W, Bhaktapur 44800, Nepal",27.6869946,85.4301197,4.7,Bhaktapur,"park, point_of_interest, establishment"
,Jagat Sundar Statue,"MCCG+XRG, Bhaktapur 44800, Nepal",27.6724393,85.4270837,5.0,Bhaktapur,"park, point_of_interest, establishment"
,Dugure Ground,"MCFR+X48, Bhaktapur 44800, Nepal",27.6749088,85.4403228,0.0,Bhaktapur,"park, point_of_interest, establishment"
